"","N_B_RNA3","N_B_RNA5","M_W_RNA6","N_B_RNA10","N_B_RNA11","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17"
"ENSG00000238164.6",62,74,66,97,123,26,187,17,65
"ENSG00000157873.17",392,833,692,721,829,99,936,201,547
"ENSG00000225931.3",3,2,2,2,4,0,3,0,1
"ENSG00000228037.1",20,5,1,1,0,0,8,0,9
"ENSG00000157870.15",114,487,140,361,321,23,300,181,320
"ENSG00000142606.15",22,72,30,59,35,0,86,3,49
"ENSG00000237058.1",0,0,0,0,0,0,0,0,0
"ENSG00000215912.12",37,32,6,19,27,0,36,10,22
"ENSG00000285945.1",0,0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,2,0,0,0,0,0,0,1
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0,0
"ENSG00000284745.1",0,0,0,0,0,0,0,0,0
"ENSG00000169717.6",0,0,0,0,0,0,0,0,0
"ENSG00000177133.10",0,1,0,4,0,0,2,0,0
"ENSG00000142611.16",2,17,3,10,14,6,12,5,12
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0,2
"ENSG00000279839.1",0,0,0,0,0,0,1,0,0
"ENSG00000272235.1",0,0,0,0,0,0,0,0,0
"ENSG00000130762.14",142,214,661,451,519,116,422,162,319
"ENSG00000272088.1",0,0,4,3,0,0,2,3,1
"ENSG00000162591.15",234,779,471,644,448,54,698,78,301
"ENSG00000207776.1",0,0,0,0,0,0,0,0,0
"ENSG00000238260.1",8,3,1,2,1,0,5,0,5
"ENSG00000158109.14",313,1269,1405,1004,1281,615,690,880,1298
"ENSG00000116213.15",75,275,336,235,275,62,222,200,250
"ENSG00000078900.14",42,156,82,170,113,26,181,16,45
"ENSG00000227589.1",0,0,1,0,0,8,0,0,0
"ENSG00000235131.1",0,0,0,0,0,0,2,0,0
"ENSG00000227372.12",260,269,390,409,393,233,323,375,358
"ENSG00000276189.1",0,0,0,0,0,0,0,0,0
"ENSG00000162592.9",0,0,0,0,0,0,2,0,0
"ENSG00000235169.8",16,45,46,18,17,0,12,20,11
"ENSG00000130764.9",272,1002,1068,853,948,547,682,711,807
"ENSG00000266075.2",0,1,0,0,0,0,1,1,1
"ENSG00000272153.1",1,11,1,1,2,7,6,0,6
"ENSG00000116198.12",316,1306,1373,1098,1355,1610,921,683,1307
"ENSG00000169598.15",26,97,97,123,95,19,57,206,133
"ENSG00000198912.10",139,424,385,358,458,265,284,336,422
"ENSG00000236423.5",0,7,30,10,7,27,19,20,13
"ENSG00000233304.6",0,0,1,0,2,0,1,1,2
"ENSG00000226374.2",0,2,2,1,0,0,0,0,1
"ENSG00000284668.1",0,0,0,0,0,0,0,0,0
"ENSG00000284703.1",0,0,0,0,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0,0
"ENSG00000235054.3",0,0,0,0,0,0,0,1,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0
"ENSG00000232596.2",0,0,0,0,0,0,0,0,0
"ENSG00000196581.10",43,0,56,16,47,16,83,17,37
"ENSG00000284739.1",0,0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0,0
"ENSG00000284692.2",0,0,2,0,0,5,1,0,0
"ENSG00000284666.1",0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0
"ENSG00000236948.2",0,0,0,0,0,0,1,0,1
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,4,5,0,0,0,0
"ENSG00000131697.17",80,224,327,193,219,78,252,137,130
"ENSG00000069424.14",93,96,81,62,53,19,72,94,63
"ENSG00000116254.17",24,71,4,37,13,9,50,15,66
"ENSG00000285629.1",0,0,0,0,0,0,0,0,0
"ENSG00000116251.10",344,2340,2688,2230,3032,2472,1609,4454,2565
"ENSG00000226944.1",0,2,5,3,2,0,3,3,6
"ENSG00000158286.12",219,278,156,351,282,151,398,148,332
"ENSG00000116237.15",527,2315,2959,1583,3010,2054,1279,1901,2273
"ENSG00000225077.3",0,0,4,0,0,1,0,0,0
"ENSG00000173673.7",0,0,0,0,0,0,0,0,0
"ENSG00000158292.6",41,44,30,58,21,3,54,22,117
"ENSG00000097021.19",106,279,157,113,159,52,98,109,103
"ENSG00000271746.1",0,5,8,4,7,7,8,7,3
"ENSG00000069812.11",41,209,323,112,117,53,66,8,137
"ENSG00000187017.16",31,105,26,78,29,0,107,2,40
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,0,0,2,0,0
"ENSG00000215788.10",71,33,12,70,29,3,59,17,41
"ENSG00000171680.21",132,188,51,179,159,26,289,19,150
"ENSG00000162408.10",345,984,1236,861,1048,891,698,1187,1127
"ENSG00000253022.1",0,0,0,0,0,0,0,0,0
"ENSG00000229519.2",0,0,0,0,0,0,0,0,0
"ENSG00000173662.20",0,2,3,0,4,8,0,1,0
