"","N_B_RNA3","N_B_RNA5","N_W_RNA7","N_B_RNA10","N_B_RNA11","N_W_RNA13","N_W_RNA15","N_W_RNA18"
"ENSG00000142611.16",2,17,14,10,14,24,13,20
"ENSG00000283572.1",0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0
"ENSG00000279839.1",0,0,1,0,0,1,0,2
"ENSG00000272235.1",0,0,0,0,0,0,0,0
"ENSG00000130762.14",142,214,560,451,519,473,382,373
"ENSG00000272088.1",0,0,3,3,0,0,3,3
"ENSG00000162591.15",234,779,491,644,448,1000,459,460
"ENSG00000207776.1",0,0,0,0,0,0,3,0
"ENSG00000238260.1",8,3,2,2,1,5,6,0
"ENSG00000158109.14",313,1269,1318,1004,1281,748,1363,975
"ENSG00000116213.15",75,275,309,235,275,252,288,297
"ENSG00000078900.14",42,156,111,170,113,271,137,125
"ENSG00000227589.1",0,0,0,0,0,0,0,0
"ENSG00000235131.1",0,0,0,0,0,0,0,0
"ENSG00000227372.12",260,269,407,409,393,479,460,392
"ENSG00000276189.1",0,0,0,0,0,0,0,0
"ENSG00000162592.9",0,0,0,0,0,1,2,0
"ENSG00000235169.8",16,45,19,18,17,22,20,12
"ENSG00000130764.9",272,1002,1134,853,948,875,1063,751
"ENSG00000266075.2",0,1,1,0,0,5,6,0
"ENSG00000272153.1",1,11,2,1,2,3,3,2
"ENSG00000116198.12",316,1306,1581,1098,1355,1171,1505,1181
"ENSG00000169598.15",26,97,166,123,95,101,133,86
"ENSG00000198912.10",139,424,486,358,458,279,412,367
"ENSG00000236423.5",0,7,26,10,7,18,29,15
"ENSG00000233304.6",0,0,1,0,2,0,1,0
"ENSG00000226374.2",0,2,0,1,0,0,4,0
"ENSG00000284668.1",0,0,0,0,0,0,0,0
"ENSG00000284703.1",0,0,0,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0
"ENSG00000235054.3",0,0,0,0,0,0,0,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0
"ENSG00000232596.2",0,0,0,0,0,0,0,0
"ENSG00000196581.10",43,0,162,16,47,55,124,54
"ENSG00000284739.1",0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0
