"","N_B_RNA3","N_B_RNA5","N_W_RNA7","N_B_RNA10","N_B_RNA11","N_W_RNA13","N_W_RNA15","N_W_RNA18"
"ENSG00000244521.3",0,0,0,0,0,0,0,0
"ENSG00000136143.15",195,1284,2058,1145,2091,1044,1567,1240
"ENSG00000234145.1",1,1,1,0,0,0,1,1
"ENSG00000229423.2",0,0,0,0,1,1,0,2
"ENSG00000228573.1",0,0,0,0,4,0,0,3
"ENSG00000260388.2",0,12,10,2,8,4,5,4
"ENSG00000227848.1",0,1,0,0,0,0,1,0
"ENSG00000136159.3",68,747,810,622,920,416,917,539
"ENSG00000276968.1",0,0,7,0,0,2,1,2
"ENSG00000136146.14",153,1073,1403,854,1176,679,1135,904
"ENSG00000229111.1",0,2,0,0,0,0,0,0
"ENSG00000224510.2",7,1,0,0,0,3,0,0
"ENSG00000136156.13",1102,11412,19715,8427,18981,6325,11466,10647
"ENSG00000231473.2",0,14,6,12,14,12,13,2
"ENSG00000139687.15",353,2365,4131,1929,3597,1919,2544,2423
"ENSG00000238086.5",0,7,1,0,0,1,0,0
"ENSG00000177197.7",2,0,1,0,0,7,2,0
"ENSG00000277684.1",0,2,2,1,0,3,4,0
"ENSG00000139679.15",318,1677,2673,2008,1656,1551,1490,2429
"ENSG00000277233.1",9,1,11,6,4,6,6,8
"ENSG00000136161.12",173,775,1054,777,900,626,790,761
"ENSG00000274929.1",9,2,7,2,7,11,2,8
"ENSG00000233456.1",0,0,0,0,0,0,0,0
"ENSG00000233610.1",0,0,0,0,0,0,3,0
"ENSG00000152207.7",18,42,58,17,33,26,33,16
"ENSG00000225131.2",8,6,28,5,20,18,20,22
"ENSG00000275202.1",5,21,28,19,14,17,29,25
"ENSG00000102531.16",915,3946,5740,3403,6493,3069,4762,4884
"ENSG00000201662.1",0,15,14,5,3,7,10,17
"ENSG00000223724.1",0,0,0,0,0,0,1,0
"ENSG00000199788.1",1,6,6,10,12,7,10,9
"ENSG00000235957.1",0,0,2,1,1,1,2,6
"ENSG00000231665.1",0,7,1,0,3,2,4,1
"ENSG00000102539.5",0,2,3,0,0,1,1,0
"ENSG00000274351.1",0,0,0,0,0,0,0,0
"ENSG00000102543.14",101,296,383,256,318,290,339,325
"ENSG00000102547.18",457,3264,5645,3983,7485,3199,6075,2825
"ENSG00000136169.16",193,965,822,801,1233,833,876,717
"ENSG00000236577.1",0,4,3,8,10,7,4,1
"ENSG00000136147.17",191,648,627,543,947,479,665,686
"ENSG00000136144.11",188,717,1790,704,1892,1110,1371,1233
"ENSG00000176882.5",0,0,0,0,0,0,0,0
"ENSG00000152213.3",9,9,10,5,9,1,7,20
"ENSG00000123179.13",186,529,850,520,750,286,561,521
"ENSG00000102753.9",211,1314,1716,912,1373,754,1076,1206
"ENSG00000276436.1",0,0,0,0,0,0,0,0
"ENSG00000222148.1",0,0,0,0,0,0,0,0
"ENSG00000181358.3",0,0,0,0,0,0,1,0
"ENSG00000200064.1",0,0,0,0,0,0,0,0
"ENSG00000123178.14",108,351,442,283,748,353,398,199
"ENSG00000231607.10",37,222,211,186,191,239,168,242
"ENSG00000204977.9",210,1594,2498,1664,3959,1255,1684,1593
"ENSG00000264864.1",0,0,0,0,1,0,1,0
"ENSG00000198553.8",0,10,12,1,6,3,3,7
"ENSG00000277913.1",0,1,0,0,2,0,0,0
"ENSG00000277066.1",0,0,1,0,0,0,0,0
"ENSG00000208006.1",0,0,0,0,0,0,0,0
"ENSG00000283785.1",0,0,0,0,0,0,0,0
"ENSG00000274878.1",0,0,0,0,0,0,0,0
"ENSG00000273612.1",0,0,0,0,0,0,0,0
"ENSG00000277752.1",0,0,0,0,0,0,0,0
"ENSG00000275559.1",0,0,0,0,0,0,0,0
"ENSG00000176124.12",26,74,74,59,85,65,53,54
"ENSG00000276089.1",0,0,0,0,0,0,0,0
"ENSG00000214359.3",0,0,1,2,1,1,0,2
"ENSG00000273541.1",0,0,0,0,0,0,0,0
"ENSG00000274270.1",0,0,7,9,6,7,1,1
"ENSG00000232150.3",3,1,1,6,5,1,4,1
"ENSG00000223676.1",1,0,0,1,0,0,0,1
"ENSG00000229323.1",0,0,0,0,0,1,0,0
"ENSG00000186047.9",0,5,5,5,0,1,0,3
"ENSG00000237152.3",8,2,7,8,1,4,5,10
"ENSG00000200711.1",0,0,0,0,0,0,0,0
"ENSG00000233672.6",4,25,35,8,27,2,20,13
"ENSG00000136104.20",283,1265,1141,743,1242,1032,968,1089
"ENSG00000123201.14",3,0,12,0,0,1,0,1
"ENSG00000222920.1",0,0,0,0,0,0,0,0
"ENSG00000226792.7",0,0,0,0,0,0,0,0
"ENSG00000214878.2",0,0,0,0,0,0,0,0
"ENSG00000274652.1",0,0,0,0,0,0,0,0
"ENSG00000271242.1",0,0,0,0,0,0,0,0
"ENSG00000150510.16",77,398,312,178,419,275,615,641
"ENSG00000253309.6",0,0,1,0,2,2,0,0
"ENSG00000266072.1",0,0,2,0,3,0,1,2
"ENSG00000102786.14",849,3130,4043,3739,5206,2332,2837,3960
"ENSG00000236778.7",8,55,58,76,116,89,76,56
"ENSG00000224892.6",5,13,2,22,31,22,16,38
"ENSG00000243900.3",0,3,2,0,4,1,1,2
"ENSG00000229906.1",0,0,0,0,0,0,0,0
"ENSG00000266611.1",0,0,0,0,0,0,0,0
"ENSG00000252141.1",0,0,0,0,0,0,0,0
"ENSG00000139668.8",512,1262,1287,1421,1175,1252,1243,1379
"ENSG00000206920.1",0,0,0,0,0,0,0,0
"ENSG00000242893.3",0,0,0,1,0,0,0,0
"ENSG00000224451.2",2,34,8,24,12,26,22,32
"ENSG00000285444.1",13,8,16,13,15,26,17,15
"ENSG00000102796.10",21,60,107,79,93,82,128,74
"ENSG00000231856.2",30,78,76,88,52,37,124,88
"ENSG00000281106.3",0,4,1,5,4,7,4,3
"ENSG00000123171.6",0,0,0,0,0,0,0,0
"ENSG00000232872.2",0,21,5,8,26,21,10,9
"ENSG00000279677.1",0,0,0,0,0,0,1,0
"ENSG00000123191.14",206,630,857,413,815,551,695,668
"ENSG00000236044.1",0,0,1,0,5,2,0,0
"ENSG00000253710.3",81,535,679,378,716,376,680,460
"ENSG00000253797.2",14,499,632,365,785,292,526,487
"ENSG00000197168.12",20,49,537,62,410,137,215,144
"ENSG00000273523.1",0,1,3,0,9,0,3,2
"ENSG00000136098.16",80,246,623,364,616,438,507,309
"ENSG00000243406.6",10,37,96,28,60,67,61,45
"ENSG00000217576.7",0,0,0,0,0,0,0,0
"ENSG00000285160.1",0,0,0,0,0,0,0,0
"ENSG00000285323.1",0,0,0,0,0,0,0,0
"ENSG00000272281.6",0,2,4,17,11,5,11,6
"ENSG00000271564.1",0,0,0,0,0,0,0,0
"ENSG00000136114.16",72,182,81,71,95,90,72,57
"ENSG00000199605.1",0,0,0,0,0,0,0,0
"ENSG00000136100.13",530,2957,3796,2286,3897,2107,2852,2586
"ENSG00000278238.1",0,6,32,17,22,7,5,11
"ENSG00000136108.14",43,488,1100,500,769,312,461,350
"ENSG00000235660.2",7,17,4,3,4,10,4,3
"ENSG00000244471.6",0,9,14,17,30,12,15,14
"ENSG00000280296.1",3,5,2,2,6,3,4,3
"ENSG00000273784.4",0,7,3,4,6,4,4,1
"ENSG00000250299.6",0,38,60,44,44,39,24,34
"ENSG00000139675.12",23,47,86,46,60,64,73,60
"ENSG00000273723.1",0,2,3,2,5,2,12,7
"ENSG00000165416.14",442,2989,3477,2671,3773,2556,3708,2696
"ENSG00000136110.12",5,6,162,11,0,1,43,10
"ENSG00000211579.2",0,0,0,0,0,0,0,0
"ENSG00000150276.8",0,0,0,0,0,0,0,0
"ENSG00000136099.13",73,5,873,245,13,19,44,610
"ENSG00000102837.6",3683,1519,15757,29820,6073,1307,1062,46330
"ENSG00000237092.1",0,0,3,0,0,0,0,1
"ENSG00000279325.1",0,0,0,0,0,0,0,0
"ENSG00000225510.2",0,0,0,0,0,2,0,0
"ENSG00000241613.3",0,0,0,0,0,0,0,0
"ENSG00000273919.1",0,0,0,0,0,0,0,0
"ENSG00000274316.1",0,0,0,1,0,0,2,2
"ENSG00000261517.1",0,0,0,0,0,0,0,1
"ENSG00000234787.7",0,0,0,0,0,0,0,0
"ENSG00000271652.1",0,0,0,0,0,0,0,0
"ENSG00000283126.1",0,0,0,0,0,0,0,0
"ENSG00000136149.6",99,23,80,31,33,22,53,41
"ENSG00000277047.4",0,0,0,0,0,0,0,0
"ENSG00000278630.1",0,0,0,0,0,0,0,0
"ENSG00000275071.1",0,0,0,0,0,0,0,0
"ENSG00000264387.1",0,0,0,0,0,0,0,0
"ENSG00000274090.1",0,0,0,0,0,0,0,0
"ENSG00000228611.2",0,0,0,0,0,0,0,0
"ENSG00000228319.1",0,0,0,0,0,0,0,0
"ENSG00000201665.1",1,0,0,0,0,0,0,0
"ENSG00000204919.1",0,0,0,0,0,0,0,0
"ENSG00000229665.8",0,0,0,0,0,0,0,0
"ENSG00000204918.3",0,0,0,0,0,0,0,0
"ENSG00000227151.4",0,0,0,0,0,0,0,0
"ENSG00000234278.3",0,0,0,0,0,0,0,0
"ENSG00000271140.1",0,0,0,0,0,0,0,0
"ENSG00000230009.1",0,0,0,0,0,0,0,0
"ENSG00000234421.2",0,0,0,0,0,0,0,0
"ENSG00000225352.1",0,0,0,0,0,0,0,0
"ENSG00000118946.11",7,150,167,156,1189,197,122,208
"ENSG00000278722.1",0,0,0,0,0,1,0,0
"ENSG00000202422.1",0,0,0,0,0,0,0,0
"ENSG00000277448.1",0,0,0,0,0,0,0,0
"ENSG00000232954.2",0,0,0,0,0,0,0,0
"ENSG00000276208.1",0,0,0,0,0,0,0,0
"ENSG00000222733.1",0,0,0,0,0,0,0,0
"ENSG00000214335.3",0,0,0,1,0,0,0,0
"ENSG00000223717.1",0,0,0,0,0,0,0,0
"ENSG00000214281.3",0,1,1,0,0,0,0,0
"ENSG00000232647.1",0,0,0,0,0,0,0,0
"ENSG00000271190.1",0,0,0,0,0,0,0,0
"ENSG00000239003.1",0,0,0,0,0,0,0,0
"ENSG00000139734.18",1,41,69,36,58,33,21,35
"ENSG00000227528.5",0,0,0,0,0,0,0,0
"ENSG00000265745.2",0,1,1,0,0,1,0,0
"ENSG00000223815.1",0,0,0,0,0,0,0,0
"ENSG00000202151.1",0,0,0,0,0,1,0,0
"ENSG00000227336.1",0,0,4,8,5,3,0,2
"ENSG00000238213.1",0,0,4,1,5,4,1,1
"ENSG00000277549.1",0,0,0,0,0,0,0,0
"ENSG00000083544.14",298,1256,1643,1013,1687,972,1191,1106
"ENSG00000223076.1",0,0,0,0,0,0,0,0
"ENSG00000236608.1",0,0,0,0,0,0,0,0
"ENSG00000225249.5",0,0,0,0,0,0,0,2
"ENSG00000279657.1",0,0,2,1,0,0,0,0
"ENSG00000206854.1",0,0,0,0,0,0,0,0
"ENSG00000227510.3",0,0,0,0,0,0,0,1
"ENSG00000266663.1",0,0,0,0,0,0,0,0
"ENSG00000280165.1",0,0,1,0,4,1,2,1
"ENSG00000197991.11",0,0,0,0,0,0,0,0
"ENSG00000279797.1",0,0,0,0,0,0,0,0
"ENSG00000234033.1",0,0,0,0,0,0,0,0
"ENSG00000270856.1",0,0,0,0,0,0,0,0
"ENSG00000229578.2",0,0,0,0,0,0,0,0
"ENSG00000230142.2",0,0,0,0,0,0,0,0
"ENSG00000227611.1",0,0,0,0,0,0,0,0
"ENSG00000229307.1",0,0,0,0,0,0,0,0
"ENSG00000232105.1",0,0,0,0,0,0,0,0
"ENSG00000276586.1",0,0,0,0,0,0,0,0
"ENSG00000271465.1",0,0,0,0,0,0,0,0
"ENSG00000228669.1",0,0,0,0,0,0,0,0
"ENSG00000273550.1",0,0,0,0,0,0,0,0
"ENSG00000227564.2",0,0,0,0,0,0,0,0
"ENSG00000231061.1",0,0,0,0,0,0,0,0
"ENSG00000274052.2",0,0,0,0,0,0,0,0
"ENSG00000285764.1",0,0,0,0,0,0,0,0
"ENSG00000237378.3",0,0,0,0,0,0,0,0
"ENSG00000202478.1",0,0,0,0,0,0,0,0
"ENSG00000213232.2",0,0,0,0,0,0,0,0
"ENSG00000219926.11",0,0,0,0,0,0,0,0
"ENSG00000285566.1",0,0,0,0,0,0,0,0
"ENSG00000227674.2",0,2,0,0,1,0,0,0
"ENSG00000237849.1",0,0,0,0,0,0,0,0
"ENSG00000214269.3",5,3,9,6,2,7,10,16
"ENSG00000214266.2",0,0,0,0,0,0,0,0
"ENSG00000236565.3",1,0,3,1,1,0,1,1
"ENSG00000234767.1",0,0,0,0,0,0,0,0
"ENSG00000263581.1",0,0,0,0,0,0,0,0
"ENSG00000263561.1",0,0,0,0,0,0,0,0
"ENSG00000235737.1",0,0,0,0,0,0,0,0
"ENSG00000184226.14",265,1539,526,1138,637,857,794,776
"ENSG00000234527.1",0,0,0,0,0,5,0,0
"ENSG00000238500.1",0,0,1,0,0,0,0,0
"ENSG00000228842.3",0,0,0,0,0,0,0,0
"ENSG00000225263.1",0,0,0,0,0,0,0,0
"ENSG00000233840.1",0,0,0,0,0,0,0,0
"ENSG00000285588.1",0,0,0,0,0,0,0,0
"ENSG00000214263.2",0,0,0,2,0,1,0,0
"ENSG00000230040.1",0,0,0,0,0,0,0,0
"ENSG00000271287.1",0,0,0,0,0,0,0,0
"ENSG00000227969.1",0,0,0,0,0,0,0,0
"ENSG00000231667.2",0,0,0,0,0,0,0,0
"ENSG00000226537.2",0,0,0,0,0,0,0,0
"ENSG00000234765.1",0,0,0,0,0,0,0,0
"ENSG00000229910.1",0,0,0,0,0,0,0,0
"ENSG00000236433.1",0,0,0,0,0,0,0,0
"ENSG00000230405.1",0,0,0,0,0,0,0,0
"ENSG00000229824.1",0,0,0,0,0,0,0,0
"ENSG00000243671.3",0,0,0,0,1,0,0,1
"ENSG00000281778.1",0,0,0,0,0,0,0,5
"ENSG00000280580.1",0,0,0,0,0,0,0,0
"ENSG00000232380.1",0,0,3,1,3,0,0,1
"ENSG00000225501.1",0,0,0,0,0,0,0,0
"ENSG00000235221.2",0,0,0,1,9,0,0,0
"ENSG00000224640.1",0,0,0,0,0,0,0,0
"ENSG00000150361.11",0,0,0,54,30,0,0,0
"ENSG00000207495.1",0,0,0,0,0,0,0,0
"ENSG00000232314.1",0,0,0,2,0,0,0,0
"ENSG00000230223.6",0,0,0,0,4,0,0,0
"ENSG00000202433.1",0,0,0,0,0,0,0,0
"ENSG00000276841.1",0,0,0,0,0,0,0,0
"ENSG00000226554.1",0,0,0,0,0,0,0,0
"ENSG00000226846.1",0,0,0,1,0,0,0,0
"ENSG00000225801.1",0,0,0,0,0,0,0,0
"ENSG00000276644.4",282,1107,1038,1073,1009,802,983,1044
"ENSG00000236534.1",6,2,1,1,6,3,3,3
"ENSG00000237816.1",0,0,0,0,0,0,0,0
"ENSG00000233460.1",0,0,0,0,0,0,0,0
"ENSG00000232881.2",0,0,0,0,0,0,0,0
"ENSG00000212377.1",0,0,0,0,0,0,0,0
"ENSG00000227952.2",0,0,0,0,0,0,0,0
"ENSG00000251715.1",0,0,0,0,0,0,0,0
"ENSG00000278113.1",0,0,0,0,0,0,0,0
"ENSG00000199282.1",0,0,0,0,0,0,0,0
"ENSG00000226617.1",0,0,0,0,0,0,0,0
"ENSG00000206922.1",0,1,0,0,0,0,0,0
"ENSG00000204899.5",35,237,668,198,697,179,377,178
"ENSG00000136122.15",13,83,139,113,131,72,112,118
"ENSG00000083520.14",318,2326,3869,2012,3229,1906,2486,2592
"ENSG00000083535.15",320,2045,2025,1897,2380,1530,1788,1780
"ENSG00000199381.1",0,0,0,0,0,0,0,0
"ENSG00000232041.1",0,1,0,0,0,1,1,0
"ENSG00000102554.13",369,1282,2162,2816,2588,903,1322,3427
"ENSG00000236972.2",0,0,0,0,1,1,0,0
"ENSG00000200267.1",0,0,0,0,0,0,0,0
"ENSG00000201253.1",0,0,0,0,0,0,0,0
"ENSG00000206697.1",0,0,0,0,0,0,0,0
"ENSG00000279754.1",0,0,0,0,0,0,0,0
"ENSG00000229708.1",0,0,0,0,0,0,0,0
"ENSG00000224853.2",0,0,4,0,0,2,0,2
"ENSG00000228295.1",0,0,0,0,1,0,0,0
"ENSG00000118922.17",165,743,463,332,563,475,417,405
"ENSG00000280348.1",0,0,0,0,0,0,0,0
"ENSG00000279463.1",0,2,6,2,15,20,4,0
"ENSG00000235532.1",0,1,20,8,49,31,21,8
"ENSG00000206617.1",0,0,0,0,0,0,0,0
"ENSG00000232701.1",0,0,0,0,0,0,0,0
"ENSG00000177596.1",0,0,0,0,0,0,0,0
"ENSG00000226240.2",0,1,1,1,0,0,0,0
"ENSG00000281167.1",0,0,0,0,0,0,0,0
"ENSG00000236678.7",0,0,1,0,0,0,0,0
"ENSG00000225944.1",0,0,0,0,0,0,0,0
"ENSG00000206812.1",0,0,0,0,0,0,0,0
"ENSG00000226665.1",0,0,0,0,0,0,0,0
"ENSG00000214249.3",0,0,5,5,7,6,8,0
"ENSG00000223880.1",0,0,0,0,0,0,0,0
"ENSG00000136111.13",619,3608,5690,2365,8803,5824,5447,3308
"ENSG00000225203.2",0,6,22,4,9,30,18,19
"ENSG00000188243.12",106,1060,1642,1073,1452,850,897,833
"ENSG00000118939.17",19,100,188,103,179,95,126,170
"ENSG00000261553.5",39,201,131,155,166,257,209,173
"ENSG00000261105.5",0,44,54,37,34,7,35,25
"ENSG00000136153.19",695,3075,5198,2818,6399,4212,5059,3435
"ENSG00000228444.2",0,3,3,0,6,6,4,6
"ENSG00000230902.1",0,0,0,0,0,0,0,0
"ENSG00000178734.5",0,0,0,0,0,0,0,0
"ENSG00000223458.2",0,0,0,0,7,0,2,0
"ENSG00000261206.1",0,0,0,0,0,0,0,0
"ENSG00000224933.2",0,0,0,0,0,0,0,0
"ENSG00000243274.3",0,0,0,0,0,0,0,0
"ENSG00000285572.1",0,0,0,0,0,3,3,0
"ENSG00000284809.1",0,0,0,0,0,1,0,0
"ENSG00000178695.5",372,1577,2531,837,1316,906,718,1406
"ENSG00000278727.1",11,2,8,2,5,8,2,4
"ENSG00000118903.6",0,0,0,0,0,0,0,0
"ENSG00000102794.9",0,0,0,0,0,0,0,0
"ENSG00000233873.1",0,0,0,1,0,0,0,1
"ENSG00000228002.2",5,0,2,1,0,2,1,1
"ENSG00000102805.14",105,971,1711,966,1921,842,1474,1048
"ENSG00000283208.1",0,1,0,5,2,2,7,1
"ENSG00000005812.10",362,2814,4314,2517,4849,1904,2912,2209
"ENSG00000236051.7",0,1,0,11,4,1,4,5
"ENSG00000274898.1",0,2,4,1,3,1,5,0
"ENSG00000005810.17",2430,9077,9950,8802,10650,7003,12886,8808
"ENSG00000229521.2",0,11,8,22,15,13,23,13
"ENSG00000285714.1",0,0,0,0,0,0,0,0
"ENSG00000136155.16",9,1,1,19,17,1,2,15
"ENSG00000224347.6",0,0,0,0,0,0,0,0
"ENSG00000206800.1",0,0,0,0,0,0,0,0
"ENSG00000227922.1",0,0,0,0,0,0,0,0
"ENSG00000285746.1",0,0,0,0,0,0,0,0
"ENSG00000139737.21",72,184,559,279,435,231,248,256
"ENSG00000266325.1",0,0,0,0,0,0,0,0
"ENSG00000225579.1",0,0,4,25,2,2,1,1
"ENSG00000136160.15",77,785,333,724,106,287,212,265
"ENSG00000234377.7",0,1,0,9,3,0,0,0
"ENSG00000233379.1",0,0,0,0,0,0,0,0
"ENSG00000243035.3",0,0,0,0,0,0,0,0
"ENSG00000236133.1",0,0,0,0,0,0,0,0
"ENSG00000229249.6",0,0,0,0,0,0,0,0
"ENSG00000235625.1",0,0,0,0,0,0,0,0
"ENSG00000271386.1",0,0,0,0,0,0,0,0
"ENSG00000200686.1",0,0,0,0,0,0,0,0
"ENSG00000229865.1",0,0,0,0,0,0,0,0
"ENSG00000224686.1",0,0,0,0,0,0,0,0
"ENSG00000271776.1",0,0,0,0,0,0,0,0
"ENSG00000152192.7",0,0,0,0,0,0,4,0
"ENSG00000152193.7",161,588,814,594,640,472,557,609
"ENSG00000237109.1",0,0,0,0,0,0,0,0
"ENSG00000225427.1",0,0,0,0,0,0,0,0
"ENSG00000215357.2",0,0,0,0,0,0,0,0
"ENSG00000230584.1",1,0,0,1,0,0,0,0
"ENSG00000236277.1",0,0,0,0,0,0,0,0
"ENSG00000226670.1",0,0,0,0,0,0,0,0
"ENSG00000139746.15",496,2977,3428,2641,3805,2531,2805,2740
"ENSG00000252496.1",0,10,1,5,11,4,6,4
"ENSG00000227354.6",52,130,89,109,177,61,142,71
"ENSG00000232132.1",0,0,0,0,0,0,0,2
"ENSG00000102471.14",231,1883,3383,2000,3645,1368,1995,1793
"ENSG00000227676.3",0,0,2,8,0,1,4,21
"ENSG00000285902.1",0,12,4,7,0,6,1,4
"ENSG00000229011.1",0,0,0,1,0,1,0,1
"ENSG00000229175.1",1,4,1,10,0,0,0,0
"ENSG00000284196.2",0,0,1,0,0,0,0,1
"ENSG00000281721.1",0,2,0,0,0,1,0,1
"ENSG00000285684.1",0,2,4,0,3,11,0,2
"ENSG00000136158.11",112,651,506,374,351,365,367,384
"ENSG00000202398.1",0,0,0,0,0,0,0,0
"ENSG00000227862.1",0,0,0,0,0,0,0,0
"ENSG00000226683.2",5,1,1,5,3,2,2,4
"ENSG00000231222.1",0,0,0,0,0,0,0,0
"ENSG00000229246.1",0,3,2,4,3,1,2,1
"ENSG00000270415.1",0,0,0,0,0,0,0,0
"ENSG00000260094.1",0,0,0,0,0,0,0,0
"ENSG00000229309.2",0,0,0,0,0,0,0,0
"ENSG00000222486.1",0,0,0,0,0,0,0,0
"ENSG00000237148.1",0,0,0,0,0,0,0,0
"ENSG00000214182.5",9,15,13,8,12,8,8,22
"ENSG00000237099.1",0,0,0,0,0,0,0,0
"ENSG00000270400.1",0,0,0,0,0,0,0,0
"ENSG00000222791.1",0,0,0,0,0,0,0,0
"ENSG00000178235.7",0,2,0,0,0,0,0,0
"ENSG00000285680.1",0,0,0,0,0,0,0,0
"ENSG00000215037.2",0,0,0,0,0,0,0,0
"ENSG00000224188.1",0,0,0,0,0,0,0,0
"ENSG00000285742.1",0,0,0,0,0,0,0,0
"ENSG00000228597.1",0,0,0,0,0,0,0,0
"ENSG00000232447.1",0,1,0,0,0,0,0,0
"ENSG00000233349.1",0,0,0,0,0,0,0,0
"ENSG00000226370.1",0,0,0,0,4,0,5,0
"ENSG00000226317.2",0,0,0,0,0,0,0,0
"ENSG00000285834.1",0,0,0,0,0,0,0,0
"ENSG00000184564.9",83,672,220,1107,391,291,234,122
"ENSG00000278580.1",0,0,0,0,0,0,0,0
"ENSG00000228241.1",0,0,0,9,0,0,0,1
"ENSG00000232252.1",1,0,2,0,0,0,0,0
"ENSG00000283371.1",0,0,0,0,0,0,0,0
"ENSG00000277914.1",9,2,4,2,0,2,0,1
"ENSG00000231879.1",0,0,0,0,0,0,0,0
"ENSG00000233528.4",0,0,0,0,0,0,0,0
"ENSG00000228074.1",0,0,0,0,0,0,0,0
"ENSG00000228473.1",0,0,0,0,0,0,0,0
"ENSG00000285699.1",0,0,0,0,0,0,0,0
"ENSG00000232636.2",0,0,0,0,0,0,0,0
"ENSG00000228824.6",0,7,4,0,0,10,2,6
"ENSG00000272515.1",0,0,0,0,0,0,0,1
"ENSG00000266052.1",0,0,0,0,0,0,0,0
"ENSG00000165300.7",72,136,633,64,121,631,231,608
"ENSG00000277640.1",0,0,0,0,0,0,0,0
"ENSG00000223404.3",0,0,0,0,0,0,0,0
"ENSG00000272046.1",0,0,0,0,0,0,0,2
"ENSG00000232204.1",0,0,0,0,0,0,0,0
"ENSG00000231019.1",0,0,1,0,0,4,3,0
"ENSG00000225289.1",0,0,0,0,0,0,0,0
"ENSG00000285811.1",0,0,0,0,0,0,0,0
"ENSG00000229443.1",0,0,0,0,0,0,0,0
"ENSG00000283130.1",0,0,0,0,0,0,0,0
"ENSG00000261666.1",0,0,0,0,0,0,0,0
"ENSG00000233211.2",0,0,0,0,0,0,0,0
"ENSG00000232225.6",0,0,0,0,0,0,0,0
"ENSG00000227247.1",0,0,0,3,0,0,0,0
"ENSG00000234660.1",0,0,0,0,0,0,0,0
"ENSG00000225530.1",0,0,0,0,0,0,0,0
"ENSG00000226037.1",0,0,0,0,0,0,0,0
"ENSG00000236176.2",0,0,0,0,0,0,0,0
"ENSG00000271395.1",0,0,0,0,0,0,0,0
"ENSG00000234227.1",0,0,0,0,0,0,0,0
"ENSG00000200733.1",0,0,0,0,0,0,0,0
"ENSG00000215418.2",0,1,0,0,0,0,0,0
"ENSG00000261446.3",0,0,0,0,0,0,0,0
"ENSG00000252696.1",0,0,0,0,0,0,0,0
"ENSG00000235879.1",0,2,0,0,6,0,0,0
"ENSG00000224419.1",0,0,0,0,0,0,0,0
"ENSG00000283783.1",0,0,0,0,0,0,0,0
"ENSG00000234384.1",0,0,0,0,0,0,0,0
"ENSG00000251753.1",0,0,0,0,0,0,0,0
"ENSG00000231674.1",0,0,0,2,0,0,0,0
"ENSG00000227983.1",0,0,0,0,0,0,0,0
"ENSG00000234625.1",0,0,0,0,0,0,0,0
"ENSG00000229557.1",0,0,0,0,0,0,0,0
"ENSG00000214178.3",0,0,0,0,0,0,0,0
"ENSG00000215417.12",18,53,94,85,83,57,81,140
"ENSG00000284536.1",0,0,0,0,0,0,0,0
"ENSG00000283815.1",0,0,0,0,0,0,0,0
"ENSG00000284204.1",0,0,0,0,0,0,0,0
"ENSG00000283762.1",0,0,0,0,0,0,0,0
"ENSG00000284375.1",0,0,0,0,0,0,0,0
"ENSG00000283705.1",0,0,0,0,0,0,0,0
"ENSG00000179399.14",0,0,0,1,21,4,9,5
"ENSG00000282864.1",0,1,0,0,0,0,0,0
"ENSG00000282997.1",0,0,0,1,0,0,0,4
"ENSG00000252508.1",0,0,0,0,0,0,0,0
"ENSG00000229287.1",0,0,0,0,0,0,1,0
"ENSG00000282865.1",0,0,0,0,0,0,0,0
"ENSG00000232885.1",0,0,0,0,0,0,0,0
"ENSG00000283097.1",0,1,2,0,3,1,4,2
"ENSG00000236240.1",0,0,0,0,2,0,0,2
"ENSG00000263741.1",0,0,0,0,0,1,0,0
"ENSG00000282993.1",0,0,0,0,0,0,0,0
"ENSG00000235984.5",0,1,0,0,6,0,0,0
"ENSG00000232849.1",0,0,0,0,0,0,0,0
"ENSG00000278177.1",0,0,3,1,1,0,0,1
"ENSG00000183098.10",132,816,605,523,386,522,306,331
"ENSG00000235784.2",0,0,0,0,0,0,0,0
"ENSG00000224394.1",0,0,0,0,0,0,0,0
"ENSG00000212559.1",0,0,0,0,0,0,0,0
"ENSG00000236520.2",0,0,0,0,0,0,0,0
"ENSG00000080166.15",12,39,12,41,25,16,32,9
"ENSG00000088451.10",25,500,536,483,654,248,470,443
"ENSG00000152749.7",95,1155,1162,902,2102,775,1161,783
"ENSG00000222129.1",0,0,0,0,0,0,0,0
"ENSG00000274168.1",0,0,0,0,1,0,0,0
"ENSG00000238230.1",0,0,0,0,0,4,0,0
"ENSG00000125285.5",0,7,25,5,52,54,21,36
"ENSG00000227640.2",0,20,49,4,68,86,49,66
"ENSG00000235768.1",0,0,1,0,0,0,0,0
"ENSG00000237924.1",0,0,0,0,0,0,0,0
"ENSG00000260962.1",0,0,0,0,0,0,0,0
"ENSG00000252335.1",0,0,0,0,0,0,0,0
"ENSG00000125257.14",2207,18333,46628,12594,57677,16748,23879,14134
"ENSG00000223298.1",0,0,0,0,0,0,0,0
"ENSG00000200211.1",0,0,0,0,0,0,0,0
"ENSG00000271492.1",0,0,0,0,0,0,0,0
"ENSG00000134873.9",43,24,296,16,29,24,67,52
"ENSG00000223392.1",0,0,0,0,0,0,0,0
"ENSG00000134874.17",163,496,208,169,196,441,348,172
"ENSG00000247400.3",14,156,285,215,240,218,255,203
