"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000132432","SEC61G",398.422419718697,1.20754184175115,0.219210223054725,5.50860185681072,3.61694933838098e-08,4.47484450957821e-05
"ENSG00000272808","RP11-66B24.7",149.468754691065,-2.71895680361342,0.495209743955213,-5.49051555790737,4.00762185447963e-08,4.66652203584849e-05
"ENSG00000090006","LTBP4",677.461857066105,-1.51329177326156,0.276545251453149,-5.47213074645016,4.4465657093156e-08,4.74556813929949e-05
"ENSG00000096006","CRISP3",752.36008205666,5.38163280530016,0.984229923311123,5.46786139888472,4.55497825949434e-08,4.74556813929949e-05
"ENSG00000225972","MTND1P23",288.860681451645,-8.68330376115528,1.59570174496122,-5.44168344026366,5.27794048981603e-08,5.07477256109275e-05
"ENSG00000213160","KLHL23",623.34651067751,0.951621733647447,0.174990006990401,5.43814901212987,5.38369405319261e-08,5.07477256109275e-05
"ENSG00000142892","PIGK",916.082899540226,1.13604641400298,0.209877305055826,5.41290738272438,6.200956804696e-08,5.57945181586169e-05
"ENSG00000084453","SLCO1A2",76.6675408189194,4.1320074481591,0.771426971034587,5.35631706345129,8.49354104115981e-08,7.30998456129385e-05
"ENSG00000132967","HMGB1P5",72.249700963809,-3.17250837157362,0.600461723395872,-5.28344813326603,1.26774767872229e-07,0.000104562772084616
"ENSG00000198853","RUSC2",329.230171906272,-1.19173798906955,0.226376340771814,-5.26441051660435,1.40639878804278e-07,0.000111358656037228
"ENSG00000103642","LACTB",308.251271348833,0.918058952914004,0.175003446635264,5.2459478402582,1.55480889017057e-07,0.000117101589204297
"ENSG00000096088","PGC",604.149802962844,3.43659409361361,0.657801966132892,5.224359716978,1.747587569275e-07,0.000123548199763566
"ENSG00000239899","RN7SL674P",1089.48918315837,-2.39706578111379,0.465310833657436,-5.1515365809826,2.5836081566669e-07,0.000170475078204071
"ENSG00000204301","NOTCH4",297.877803625802,-1.79484208428362,0.35027561904503,-5.12408511096766,2.98985914488944e-07,0.000184950818040895
"ENSG00000142102","PGGHG",271.811556343174,-1.86344705908912,0.367767234259828,-5.06691974025231,4.04304648541733e-07,0.000234033371576406
"ENSG00000135835","KIAA1614",50.7428954018313,-2.09683136572072,0.413869655527228,-5.06640517785622,4.05398545798785e-07,0.000234033371576406
"ENSG00000014824","SLC30A9",2464.0013758846,0.738641066335044,0.145904484933432,5.06249733633648,4.13799848707967e-07,0.000234033371576406
"ENSG00000163558","PRKCI",2476.62132381505,0.80674215880701,0.159589208097227,5.05511725025614,4.30126432712484e-07,0.000236509798209545
"ENSG00000111788","RP11-22B23.1",87.2953402278336,-2.51004957696612,0.497833785865444,-5.04194301036158,4.60828544684088e-07,0.000246543271405987
"ENSG00000105849","TWISTNB",677.614977568568,1.07468941889233,0.214634739336177,5.00706186806542,5.52671667998744e-07,0.000287898307053556
"ENSG00000263528","IKBKE",107.498743908703,-1.33998496712161,0.268426605445632,-4.991997588678,5.97580014388591e-07,0.000303310163713389
"ENSG00000095627","TDRD1",616.607636350732,6.40433340803457,1.29245035444092,4.95518716523927,7.22606972076617e-07,0.000357600125306416
"ENSG00000114626","ABTB1",192.13117849281,-1.36685386849466,0.2765373178541,-4.94274653092501,7.7029604721469e-07,0.000368169448460866
"ENSG00000172954","LCLAT1",1225.75735618071,0.768694010503878,0.156166194985047,4.92228174335349,8.55409418467855e-07,0.000387755351099618
"ENSG00000119547","ONECUT2",360.718450896296,2.85898798212675,0.581367955159454,4.91769103672493,8.75709816747322e-07,0.000387755351099618
"ENSG00000068137","PLEKHH3",336.860830247085,-1.23972083944728,0.252160092161594,-4.91640381640099,8.81484758751342e-07,0.000387755351099618
"ENSG00000149089","APIP",403.372775194951,0.878543909145372,0.17917532943109,4.90326381391281,9.42572583944035e-07,0.000395820775980762
"ENSG00000166444","ST5",783.709249326466,-1.30683522504489,0.266717138423484,-4.89970473127204,9.59807893259741e-07,0.000395820775980762
"ENSG00000256222","MTRNR2L3",163.029881915495,-4.70811724619644,0.965503812031718,-4.87633211544665,1.0807658755994e-06,0.000436607357295717
"ENSG00000206737","RNVU1-18",112.005350709065,-4.57802542886075,0.941213288077162,-4.86396174687818,1.15059159884379e-06,0.000453627884105166
"ENSG00000113328","CCNG1",3503.41827588447,1.24485211187492,0.256096750391348,4.86086648882749,1.1687305930469e-06,0.000453627884105166
