"","M_B_RNA1","M_B_RNA2","M_B_RNA4","N_W_RNA7","M_B_RNA8","M_B_RNA9","N_W_RNA13","N_W_RNA15","N_W_RNA18","M_B_RNA19","M_B_RNA20"
"ENSG00000285643.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204442.3",36,20,5,150,40,7,17,48,63,16,34
"ENSG00000201847.1",0,0,0,0,1,0,0,1,0,0,0
"ENSG00000276740.1",0,0,0,7,0,0,1,1,2,8,0
"ENSG00000221650.1",0,0,0,0,0,0,0,1,1,1,0
"ENSG00000227248.1",0,0,0,9,0,5,4,8,11,1,12
"ENSG00000274718.1",0,3,0,8,6,1,1,5,1,0,1
"ENSG00000174405.13",138,75,152,1006,807,129,456,819,663,417,697
"ENSG00000139826.5",116,50,28,1630,1145,148,621,967,895,685,1027
"ENSG00000102524.11",20,27,6,65,53,52,59,37,79,46,116
"ENSG00000277246.1",4,0,0,6,9,2,7,4,4,6,16
"ENSG00000223177.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283384.1",0,0,0,0,0,2,0,1,1,0,0
"ENSG00000232087.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000041515.15",4,24,4,22,11,14,16,19,33,17,63
"ENSG00000229938.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236242.1",0,0,0,0,0,0,0,0,2,0,0
"ENSG00000275216.2",0,0,0,4,0,0,0,0,0,1,0
"ENSG00000223617.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236053.1",0,0,0,0,0,0,0,0,0,2,0
"ENSG00000229792.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285534.1",9,1,8,15,15,12,25,7,38,38,12
"ENSG00000234854.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185950.8",229,636,457,6404,3543,1408,2492,7300,3680,3683,1700
"ENSG00000275741.1",0,1,0,1,0,0,0,3,0,2,0
"ENSG00000275248.1",0,0,0,0,1,0,1,0,1,0,0
"ENSG00000201161.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000274331.1",2,0,0,0,0,3,0,0,0,0,0
"ENSG00000275830.1",1,11,0,0,6,2,3,2,0,0,9
"ENSG00000276269.1",0,5,0,0,0,3,0,0,1,0,1
"ENSG00000231428.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265885.2",2,1,0,0,0,1,2,0,1,0,0
"ENSG00000279965.1",2,4,0,0,0,3,0,1,0,1,4
"ENSG00000187498.15",693,2069,2402,3932,1961,3267,3274,3153,3190,635,1975
"ENSG00000279237.1",0,12,0,5,20,20,26,13,12,11,43
"ENSG00000134871.18",638,2559,2915,3632,1638,3649,3110,3012,2270,483,1571
"ENSG00000276765.1",0,0,0,0,1,0,2,0,0,0,2
"ENSG00000224821.5",0,0,0,0,0,0,0,0,1,0,0
"ENSG00000232814.2",0,0,0,1,4,1,0,1,0,0,0
"ENSG00000139832.4",136,120,160,458,262,141,260,256,329,122,240
"ENSG00000275880.1",5,22,0,59,14,0,15,45,49,18,14
"ENSG00000213995.11",435,600,392,1795,901,504,1110,1570,1218,844,791
"ENSG00000134905.16",283,464,218,877,615,346,859,1035,800,605,611
"ENSG00000153487.12",124,111,117,636,455,148,355,879,240,191,519
"ENSG00000225239.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259831.1",0,0,0,3,0,0,0,1,0,0,1
"ENSG00000255874.2",11,64,19,56,23,14,67,54,71,6,26
"ENSG00000088448.14",977,974,714,3767,3646,1303,3509,3654,3554,2732,3749
"ENSG00000229152.2",48,34,0,346,419,75,266,275,280,239,419
"ENSG00000277767.1",6,5,0,5,21,2,26,12,11,5,19
"ENSG00000227105.1",0,0,0,1,0,0,0,0,0,0,0
"ENSG00000275989.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225760.2",0,0,0,0,6,0,2,2,3,0,0
"ENSG00000225870.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235875.3",0,0,0,4,4,3,1,2,1,0,1
"ENSG00000102606.18",1038,730,565,2564,2283,1173,3076,3923,2569,2377,2342
"ENSG00000233644.1",5,0,8,0,1,3,1,8,3,0,4
"ENSG00000227352.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285856.1",0,0,0,7,4,3,3,8,2,3,0
"ENSG00000274614.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000153495.10",7,0,0,6,4,0,8,11,6,14,5
"ENSG00000204398.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215881.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226903.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200072.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182968.4",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000260385.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229520.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224243.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260102.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260343.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223626.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000153498.11",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000126216.14",221,331,242,830,731,258,698,729,704,654,800
"ENSG00000277159.1",6,0,0,16,4,1,6,11,7,0,13
"ENSG00000197595.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274922.1",6,10,11,39,20,6,16,17,17,5,32
"ENSG00000068650.18",534,1367,355,1579,806,310,893,1036,1952,993,3216
"ENSG00000232684.1",2,0,0,0,1,0,0,0,0,0,0
"ENSG00000277545.1",0,0,0,2,0,2,0,0,10,1,1
"ENSG00000126217.20",446,1052,479,1207,1174,1848,1526,1729,1247,1120,1373
"ENSG00000267868.1",23,28,0,25,18,19,20,57,36,20,36
"ENSG00000235280.2",34,20,7,38,37,32,55,52,38,38,32
"ENSG00000269356.1",1,4,0,4,21,8,10,17,9,8,15
"ENSG00000269376.1",1,0,0,0,5,6,6,14,4,8,1
"ENSG00000057593.13",2,4,0,11,0,5,8,7,9,0,14
"ENSG00000126218.11",29,51,0,31,8,34,28,23,24,3,37
"ENSG00000231882.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000230371.1",0,0,0,0,0,1,0,0,1,0,0
"ENSG00000283828.1",3,10,6,2,9,15,6,26,3,15,13
"ENSG00000126231.13",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269125.1",0,0,0,1,2,6,0,1,0,3,0
"ENSG00000126226.21",341,407,215,1181,1011,586,1021,1189,1028,805,1055
"ENSG00000139842.14",893,936,834,3855,3027,1095,2590,4095,3038,2692,2671
"ENSG00000277942.1",0,5,0,3,3,1,6,3,7,7,6
"ENSG00000232662.2",0,0,0,0,0,0,0,2,3,1,0
"ENSG00000185896.10",1620,1820,1249,6015,3880,1302,3006,5613,4044,2791,3738
"ENSG00000139835.13",115,117,73,453,282,182,342,418,316,276,275
"ENSG00000276434.1",5,12,0,36,76,3,52,44,55,40,54
"ENSG00000225083.1",0,4,0,1,2,0,3,0,2,0,6
"ENSG00000153531.13",8,24,0,58,51,29,32,62,77,84,43
"ENSG00000150401.14",83,108,161,391,218,126,250,270,323,259,218
"ENSG00000233613.5",0,0,0,0,0,0,0,0,0,0,5
"ENSG00000202347.1",0,2,0,0,6,5,8,6,6,6,8
"ENSG00000150403.17",521,586,441,2627,1632,558,1305,1786,1241,3546,1127
"ENSG00000276916.1",0,11,4,7,11,9,29,7,17,25,6
"ENSG00000276248.1",14,1,38,31,58,18,49,45,45,116,62
"ENSG00000198176.12",574,618,368,1698,1093,410,1063,1362,1286,1217,1023
"ENSG00000186009.4",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000185974.6",0,0,0,0,0,0,6,0,0,0,1
"ENSG00000279770.1",0,0,0,0,0,1,0,0,1,0,3
"ENSG00000184497.12",16,39,0,30,27,33,13,22,31,41,21
"ENSG00000233695.2",8,98,0,40,33,242,52,61,43,568,67
"ENSG00000183087.14",298,773,431,640,478,764,614,596,450,65,668
"ENSG00000272695.1",14,8,11,19,13,11,13,20,4,12,12
"ENSG00000237699.2",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000226921.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274766.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229373.8",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260910.1",2,2,0,3,0,1,0,2,2,0,2
"ENSG00000283199.2",45,108,28,57,48,106,132,156,131,22,147
"ENSG00000185989.10",97,174,165,327,181,163,280,305,322,176,264
"ENSG00000232487.1",1,12,16,0,2,2,1,1,2,2,9
"ENSG00000283361.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283347.1",0,0,0,0,0,0,0,2,0,0,0
"ENSG00000130177.15",454,489,366,1725,1444,590,1409,2016,1426,1260,1604
"ENSG00000264539.1",0,0,0,1,2,3,4,10,3,2,10
"ENSG00000265450.1",0,0,0,0,0,0,0,0,2,4,0
"ENSG00000285672.1",0,0,0,0,0,0,1,2,0,2,0
"ENSG00000169062.14",209,321,246,931,732,453,809,1004,773,696,728
"ENSG00000226158.1",0,0,0,1,0,0,0,1,0,4,2
"ENSG00000198824.6",206,315,193,1142,959,139,646,1124,806,1125,585
"ENSG00000229723.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260615.1",11,0,0,19,10,2,9,15,4,5,8
"ENSG00000283274.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215398.11",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206906.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257171.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257356.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257959.1",0,0,0,16,0,0,0,0,0,0,0
"ENSG00000257721.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258367.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257825.1",0,0,0,2,0,0,0,0,0,0,0
"ENSG00000257115.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257672.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258233.1",0,0,0,1,0,3,3,0,0,0,2
"ENSG00000257504.1",1,0,0,5,2,0,3,6,6,1,0
"ENSG00000257644.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257175.2",3,2,0,0,1,1,1,1,5,0,5
"ENSG00000258364.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257731.2",0,0,0,0,0,0,1,1,0,0,0
"ENSG00000258076.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257558.2",0,0,0,0,2,0,0,1,0,1,3
"ENSG00000239200.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257635.2",4,0,6,17,13,4,40,34,33,5,26
"ENSG00000257224.1",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000277529.1",0,0,0,5,16,3,24,11,21,3,20
"ENSG00000277367.1",0,0,0,80,0,0,8,6,3,4,9
"ENSG00000278143.1",4,0,0,813,1,0,0,19,0,8,3
"ENSG00000257853.2",0,2,0,0,0,0,0,0,0,0,0
"ENSG00000257891.1",34,0,6,192,55,1,282,74,158,14,13
"ENSG00000258265.1",4,5,0,52,18,0,43,110,33,4,2
"ENSG00000222036.7",66,56,28,1345,90,1,634,1285,221,125,158
"ENSG00000275563.1",97,12,27,522,143,26,264,882,530,416,54
"ENSG00000212612.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258314.3",53,10,17,98,72,1,153,107,56,43,31
"ENSG00000274369.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225210.10",46,9,2,138,87,6,132,407,60,29,138
"ENSG00000277128.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277710.2",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000278594.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196143.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271632.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277252.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258781.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285990.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257310.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277156.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000244306.11",79,15,18,329,177,133,203,719,159,38,78
"ENSG00000228294.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274827.4",250,188,129,6325,4733,45,6816,9921,3110,5422,2761
"ENSG00000278301.1",0,0,0,0,0,0,3,2,0,1,0
"ENSG00000187537.13",466,305,46,1691,2086,55,5252,4955,1556,2691,1042
"ENSG00000276888.1",121,52,146,1610,680,62,128,936,313,244,145
"ENSG00000212516.1",1,0,0,0,0,0,0,1,0,0,0
"ENSG00000257162.6",0,0,0,8,1,0,5,4,2,1,0
"ENSG00000258027.2",0,0,0,41,20,0,14,4,0,0,1
"ENSG00000273639.6",0,4,0,143,5,0,11,16,3,0,7
"ENSG00000274649.1",0,0,0,5,0,0,7,10,2,0,2
"ENSG00000278184.1",0,0,0,7,13,1,0,0,2,2,3
"ENSG00000257432.1",0,0,0,5,1,0,1,2,2,2,0
"ENSG00000273558.1",0,0,0,6,8,0,5,2,5,0,1
"ENSG00000258324.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257493.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257751.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257846.2",0,0,1,4,2,1,2,3,9,2,7
"ENSG00000259069.1",0,0,0,35,2,0,2,18,12,0,0
"ENSG00000257884.2",5,0,0,66,4,0,26,32,20,2,12
"ENSG00000257395.1",2,0,0,39,1,0,1,9,4,0,5
"ENSG00000258080.1",0,0,0,6,0,0,0,0,1,0,0
"ENSG00000257142.1",0,0,0,0,0,0,0,0,2,0,0
"ENSG00000258453.3",0,0,0,0,0,6,0,0,0,0,0
"ENSG00000176294.5",0,0,0,6,0,0,1,10,3,2,0
"ENSG00000258438.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182652.3",0,0,0,10,1,0,9,6,3,6,0
"ENSG00000176312.4",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000176299.5",0,0,0,0,0,0,0,3,3,2,0
"ENSG00000258564.2",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000228304.1",0,0,0,2,0,0,0,1,0,0,0
"ENSG00000176290.8",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000165762.3",0,0,0,17,20,0,1,11,3,4,2
"ENSG00000258541.1",0,0,0,0,0,0,0,2,0,0,0
"ENSG00000259016.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176281.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000155249.5",0,0,0,0,2,0,0,0,0,0,0
"ENSG00000258822.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169488.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196383.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169484.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176253.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258899.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176246.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252999.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258641.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176230.6",0,0,0,0,0,0,0,0,1,1,0
"ENSG00000184394.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259074.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259095.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258468.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284742.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196832.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258625.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176219.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258806.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176198.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136319.11",308,221,121,1018,695,137,654,1039,532,400,764
"ENSG00000258768.2",15,7,1,62,53,17,43,45,35,26,63
"ENSG00000258459.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000100814.17",225,205,92,796,522,205,424,522,534,499,777
"ENSG00000222489.1",178,571,43,1638,1348,1873,670,527,806,1058,1242
"ENSG00000238344.1",0,0,0,0,1,0,0,3,1,2,4
"ENSG00000259001.3",0,0,0,0,0,0,0,3,0,0,0
"ENSG00000277209.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000129484.13",86,116,23,320,241,84,278,362,269,265,371
"ENSG00000254846.1",0,0,0,0,0,1,0,0,0,0,0
"ENSG00000129566.12",747,1133,745,2466,2140,1167,2305,3000,2928,1691,1418
"ENSG00000200225.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185271.8",0,4,3,13,17,8,27,17,4,2,20
"ENSG00000259162.1",0,0,0,0,0,0,1,0,0,0,2
"ENSG00000092094.10",217,206,248,586,395,172,505,641,574,535,750
"ENSG00000258515.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000100823.11",579,767,521,2692,1456,487,1171,1826,1404,1639,1689
"ENSG00000165782.10",177,140,208,830,591,178,359,701,532,512,296
"ENSG00000198805.11",86,70,51,375,374,119,272,428,622,110,340
"ENSG00000258908.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182545.6",0,2,0,0,0,0,0,0,0,0,2
"ENSG00000258456.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258863.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000188655.10",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259060.7",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173464.14",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258573.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258436.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239327.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181803.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199461.1",0,1,0,0,0,0,0,0,0,0,0
"ENSG00000258818.3",14,5,8,19,7,0,1,9,7,3,6
"ENSG00000214274.9",206,89,111,468,448,96,278,746,394,282,228
"ENSG00000259171.1",0,0,0,0,2,0,0,0,2,0,0
"ENSG00000258451.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259144.2",1,1,0,0,1,0,0,0,0,0,0
"ENSG00000258963.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181562.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181552.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169413.2",37,60,48,211,83,51,33,51,148,18,127
"ENSG00000258810.1",1,0,0,8,5,3,0,1,11,0,2
"ENSG00000129538.13",100,155,134,157,160,129,83,113,161,33,205
"ENSG00000259130.1",0,0,0,3,0,0,0,0,0,0,0
"ENSG00000258642.1",1,0,0,0,0,0,0,0,0,0,3
"ENSG00000169397.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258918.1",0,0,0,2,0,0,2,0,2,0,2
"ENSG00000258772.1",0,0,0,2,0,0,0,0,1,0,1
"ENSG00000136315.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169385.2",0,0,0,2,0,0,0,0,1,0,2
"ENSG00000243817.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258599.2",0,0,0,3,1,0,2,1,0,0,2
"ENSG00000165792.17",179,231,119,653,514,222,519,401,433,467,434
"ENSG00000258471.2",6,0,0,10,2,0,12,2,7,0,13
"ENSG00000165794.9",7,16,0,135,4,2,10,13,14,0,55
"ENSG00000165795.23",1150,1220,947,3418,1805,275,974,2490,1909,395,1997
"ENSG00000284122.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000179636.14",0,1,0,0,0,0,0,0,0,0,5
"ENSG00000258604.1",0,5,0,3,0,0,0,0,1,0,1
"ENSG00000255472.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206150.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000165799.4",8,1,1,4,15,2,10,10,11,0,17
"ENSG00000173431.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000165801.9",205,490,215,516,331,394,453,372,424,68,588
"ENSG00000165804.15",74,105,115,144,122,79,169,129,164,48,198
"ENSG00000232070.8",0,3,0,2,5,1,6,5,6,4,3
"ENSG00000178107.2",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000258722.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200102.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169327.5",3,0,0,0,0,0,1,0,0,0,1
"ENSG00000259102.2",1,0,0,0,0,0,0,0,0,0,0
"ENSG00000258906.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258441.1",77,95,147,267,236,65,364,328,285,572,543
"ENSG00000092199.17",2603,2253,2254,16175,11163,2147,7304,11418,10389,9679,10681
"ENSG00000092200.12",2,12,10,11,29,81,24,13,29,233,20
"ENSG00000092201.9",1027,947,1042,5113,3388,903,2723,3742,3318,2489,3421
"ENSG00000260830.1",3,0,0,1,8,2,1,1,2,3,0
"ENSG00000100888.13",2133,2003,1615,6785,4756,1617,4679,5926,4892,4613,4897
"ENSG00000199436.1",8,24,4,84,84,36,70,56,46,30,52
"ENSG00000200785.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241035.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258870.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274475.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000129472.14",318,298,255,1027,1261,465,862,1220,863,1103,789
"ENSG00000092203.13",735,774,759,3078,2231,551,1620,2633,2143,1812,1930
"ENSG00000165819.11",491,563,567,1382,1335,770,1140,1471,1308,1775,1203
"ENSG00000165821.11",216,197,250,461,390,108,351,495,261,856,525
"ENSG00000257096.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256737.1",1,0,0,0,0,0,0,0,1,1,0
"ENSG00000169208.2",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000256081.2",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000273586.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256385.1",3,0,0,0,0,0,0,0,0,0,0
"ENSG00000255569.1",0,0,0,0,0,0,0,0,0,0,6
"ENSG00000255582.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256553.1",0,0,31,2,1,2,1,1,2,0,3
"ENSG00000255664.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221977.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276240.2",0,0,0,1,14,0,0,1,0,6,9
"ENSG00000256350.1",0,0,0,0,1,0,0,0,0,0,4
"ENSG00000211776.2",0,0,0,3,2,3,1,3,0,0,0
"ENSG00000248358.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211777.2",0,4,0,1,2,0,2,2,0,1,2
"ENSG00000211778.2",0,0,0,0,1,1,0,6,4,0,12
"ENSG00000211779.3",0,0,0,6,1,0,1,0,11,0,10
"ENSG00000240954.1",0,0,0,5,14,1,0,6,0,2,5
"ENSG00000211780.3",0,0,0,0,0,0,0,2,0,0,1
"ENSG00000211781.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211782.2",0,0,0,0,1,0,0,1,0,0,1
"ENSG00000211783.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211784.2",0,0,0,0,0,3,1,0,4,0,3
"ENSG00000256474.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211785.1",3,0,0,2,0,0,2,2,5,0,6
"ENSG00000211786.3",0,0,0,3,1,0,1,0,1,0,6
"ENSG00000211787.1",1,0,0,3,0,0,0,0,6,0,5
"ENSG00000211788.2",2,2,0,0,1,0,2,4,0,0,4
"ENSG00000211789.2",3,0,0,3,0,0,0,12,0,0,14
"ENSG00000211790.2",1,0,0,0,0,3,0,0,1,0,0
"ENSG00000256379.2",0,0,0,0,0,0,0,7,0,0,2
"ENSG00000211791.2",3,0,0,0,2,0,0,3,3,0,5
"ENSG00000211792.2",1,3,0,3,0,2,0,3,3,0,3
"ENSG00000211793.2",0,0,0,1,5,0,1,3,1,0,1
"ENSG00000258482.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258557.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211794.3",0,0,0,1,0,2,0,2,0,1,12
"ENSG00000211795.3",0,0,0,0,0,1,0,0,1,0,1
"ENSG00000211796.1",0,0,0,1,0,1,0,0,0,0,1
"ENSG00000211797.2",0,0,0,4,3,0,0,1,2,0,5
"ENSG00000211798.3",0,0,0,1,0,0,2,0,5,0,0
"ENSG00000211799.3",0,0,0,4,11,0,5,0,3,0,9
"ENSG00000258705.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211800.3",0,0,0,0,0,1,2,2,3,0,0
"ENSG00000211801.3",1,0,0,2,5,0,6,2,2,0,9
"ENSG00000276428.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211802.3",0,0,0,0,1,1,4,0,0,0,1
"ENSG00000211803.2",0,0,0,0,0,1,0,2,1,0,1
"ENSG00000211804.3",0,0,0,0,0,0,0,0,0,0,2
"ENSG00000211805.1",6,0,0,0,0,0,0,0,1,0,0
"ENSG00000211806.2",0,0,0,0,1,0,0,2,0,0,4
"ENSG00000211807.3",0,0,0,0,0,1,0,0,4,0,1
"ENSG00000211808.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211809.2",0,0,0,0,0,0,0,0,0,0,5
"ENSG00000258835.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211810.3",0,0,0,0,0,0,1,1,0,0,0
"ENSG00000259092.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000249048.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258905.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258812.1",0,0,0,0,0,0,0,0,1,0,0
"ENSG00000211812.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000211813.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211814.1",1,0,0,0,0,0,1,0,0,0,1
"ENSG00000211815.3",0,0,0,0,0,0,1,1,0,0,1
"ENSG00000259068.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211816.2",0,0,0,0,0,2,0,0,0,0,0
"ENSG00000211817.2",0,0,0,1,2,3,0,0,0,0,4
"ENSG00000211818.1",0,13,0,2,0,2,0,1,2,0,0
"ENSG00000211819.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211820.1",0,0,0,0,0,2,0,0,1,1,2
"ENSG00000256221.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251002.7",0,0,0,0,0,3,0,0,0,5,9
"ENSG00000259042.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211821.2",0,0,0,0,0,0,0,0,0,0,7
"ENSG00000223997.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237235.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228985.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211825.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211826.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000211827.1",0,0,0,0,0,0,0,0,0,0,1
