"","M_B_RNA1","M_B_RNA2","M_B_RNA4","N_W_RNA7","M_B_RNA8","M_B_RNA9","N_W_RNA13","N_W_RNA15","N_W_RNA18","M_B_RNA19","M_B_RNA20"
"ENSG00000227950.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207056.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237402.1",0,0,0,3,0,1,0,1,0,0,1
"ENSG00000237728.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225126.1",0,0,0,1,0,0,0,0,0,0,0
"ENSG00000270171.1",0,1,0,1,0,0,1,3,0,6,2
"ENSG00000270035.1",1,0,6,1,3,1,4,4,2,14,13
"ENSG00000269978.1",0,4,0,4,0,4,5,3,5,8,7
"ENSG00000049245.12",602,506,518,2848,1975,453,1506,2399,2009,793,2146
"ENSG00000269925.1",0,2,0,13,20,9,21,11,38,24,27
"ENSG00000049246.14",485,286,625,1723,1608,1030,1229,2590,1124,636,914
"ENSG00000236266.1",0,8,0,0,5,0,1,0,0,0,0
"ENSG00000049247.13",0,0,0,50,1,0,1,4,13,4,29
"ENSG00000049249.8",12,9,0,15,17,18,9,9,14,1,43
"ENSG00000270330.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116288.12",918,831,743,4535,3182,316,2064,3607,2452,2083,1857
"ENSG00000200344.1",0,0,0,1,0,0,0,0,0,0,0
"ENSG00000284747.1",0,0,0,5,22,8,13,11,14,21,16
"ENSG00000284716.1",0,5,0,1,3,0,2,3,3,0,4
"ENSG00000116285.12",380,648,430,2919,2512,456,2307,1522,6835,2246,4364
"ENSG00000238290.1",6,47,14,18,7,2,15,6,18,0,18
"ENSG00000232848.1",2,0,0,3,0,0,0,2,0,2,0
"ENSG00000229305.1",0,0,0,0,0,1,1,0,0,0,0
"ENSG00000227634.2",0,0,0,0,1,0,2,0,1,0,2
"ENSG00000200975.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233645.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251977.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162426.14",26,26,36,82,56,12,47,138,74,26,24
"ENSG00000252254.1",0,0,0,1,0,0,0,0,2,0,0
"ENSG00000142599.17",2472,3565,1660,5420,6232,3198,6982,7428,5058,8766,5430
"ENSG00000232912.5",0,0,0,0,7,2,20,6,18,7,12
"ENSG00000221083.1",1,0,0,1,4,4,4,11,6,11,4
"ENSG00000270282.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234619.1",0,0,0,1,0,0,0,0,0,0,0
"ENSG00000224315.2",8,23,11,26,29,29,64,35,51,54,59
"ENSG00000222511.2",0,0,0,0,17,1,3,2,0,6,9
"ENSG00000226545.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228423.2",10,18,10,5,31,16,50,35,48,24,39
"ENSG00000229716.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000074800.15",2350,2539,2215,11200,6538,1337,3431,6191,7356,3837,5356
"ENSG00000274258.1",0,0,0,0,0,0,1,1,1,2,0
"ENSG00000230679.1",1,1,0,17,6,0,5,5,2,1,3
"ENSG00000201725.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238249.2",0,0,0,0,1,0,0,0,0,2,1
"ENSG00000232208.2",0,0,0,1,0,0,0,0,1,0,4
"ENSG00000232663.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131686.14",3,0,0,2,0,0,0,0,0,0,0
"ENSG00000265141.2",1,0,0,0,0,2,0,2,0,0,0
"ENSG00000197241.3",0,0,0,2,6,0,0,0,3,6,0
"ENSG00000142583.17",629,1604,41,548,1341,18,135,811,504,7,255
"ENSG00000252404.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180758.11",130,233,97,318,342,148,242,272,288,120,277
"ENSG00000228526.7",54,187,45,78,72,156,168,111,183,35,163
"ENSG00000284357.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234546.3",15,35,0,54,23,23,47,56,45,24,77
"ENSG00000049239.12",1248,1247,1128,3230,1918,1440,2667,2918,3767,1551,3124
"ENSG00000171621.13",123,271,131,592,348,254,295,216,692,237,439
"ENSG00000284652.1",4,5,0,6,4,1,3,1,1,2,3
"ENSG00000284693.1",7,0,0,7,7,6,14,11,16,8,15
"ENSG00000252956.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235263.1",0,0,0,0,0,1,0,2,0,0,0
"ENSG00000171612.6",136,68,54,829,644,83,361,571,539,1010,358
"ENSG00000231181.1",3,20,0,9,21,10,16,30,29,55,22
"ENSG00000188807.12",46,132,53,164,127,123,179,120,163,154,131
"ENSG00000171608.15",42,129,91,141,58,74,120,148,143,28,193
"ENSG00000179840.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233268.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231789.2",13,53,0,42,13,8,21,44,18,5,25
"ENSG00000171603.17",4542,4274,3769,11356,10200,2904,10650,14873,8299,7891,8430
"ENSG00000271264.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280113.2",8,0,0,2,10,0,5,3,1,1,4
"ENSG00000178585.14",574,871,266,1743,1154,287,1280,1915,1121,580,906
"ENSG00000223989.1",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000285701.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162441.11",337,290,267,1407,1106,171,833,1303,1028,701,904
"ENSG00000228150.1",0,0,0,2,5,3,2,5,5,3,2
"ENSG00000173614.13",112,131,74,418,332,89,307,351,290,196,297
"ENSG00000202415.1",2,7,1,2,1,1,3,6,5,1,3
"ENSG00000283611.2",0,0,0,0,4,0,0,0,0,0,0
"ENSG00000265521.1",0,0,0,1,3,0,2,4,1,2,0
"ENSG00000241326.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162444.11",51,18,22,238,279,52,168,327,132,123,75
"ENSG00000130939.18",888,759,568,2391,2028,865,2097,2933,2163,1781,1657
"ENSG00000224340.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233623.2",8,11,0,7,5,8,18,10,10,19,10
"ENSG00000201746.1",0,0,0,0,0,2,2,0,0,0,2
"ENSG00000054523.17",1410,1151,1322,5058,4871,1679,4493,5794,4830,4358,3874
"ENSG00000264881.1",0,0,0,0,0,9,0,2,1,0,1
"ENSG00000199562.1",1,9,15,17,10,6,6,24,15,17,16
"ENSG00000264501.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284735.1",0,0,0,0,0,0,0,2,0,0,0
"ENSG00000284642.1",0,2,26,16,15,20,23,21,21,21,10
"ENSG00000142657.20",682,532,466,2533,1740,202,1333,2041,1576,936,1425
"ENSG00000271989.1",0,0,0,0,0,0,0,0,3,0,0
"ENSG00000251503.8",0,0,0,1,0,0,0,1,0,0,0
"ENSG00000175279.21",4,4,0,18,13,1,5,18,7,17,18
"ENSG00000241563.3",0,0,0,1,5,0,2,2,2,10,2
"ENSG00000160049.11",562,443,281,1741,1293,776,1218,1668,1561,929,1395
"ENSG00000203469.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142655.12",149,283,189,392,248,155,320,412,342,245,312
"ENSG00000243267.3",1,1,0,0,4,1,6,2,1,4,2
"ENSG00000130940.14",1083,1842,535,2103,2412,1113,3473,2709,1730,2257,2180
"ENSG00000272078.1",0,9,0,1,0,1,7,1,0,2,0
"ENSG00000225158.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175262.14",0,6,0,0,0,0,1,0,5,2,0
"ENSG00000215785.2",0,0,0,0,2,0,5,5,0,3,1
"ENSG00000120948.17",363,327,206,1451,1238,228,1154,1621,1468,1528,1260
"ENSG00000277726.4",0,0,0,0,0,1,2,0,0,0,4
"ENSG00000009724.16",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271895.2",13,10,1,28,20,7,23,35,31,27,31
"ENSG00000116649.9",109,182,99,258,203,320,251,233,320,370,117
"ENSG00000171824.13",487,593,590,1776,1172,529,1152,1331,1444,1106,1270
"ENSG00000226849.1",0,15,0,5,11,7,8,17,6,10,9
"ENSG00000230337.1",0,0,0,6,3,0,4,7,1,1,1
"ENSG00000198793.12",1431,1582,1335,5415,5232,1442,4240,6149,4689,5552,2685
"ENSG00000225602.5",0,0,0,0,2,0,0,0,0,0,0
"ENSG00000253086.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171819.4",1,0,0,212,17,2,5,32,92,5,11
"ENSG00000207451.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238173.1",2,0,1,1,1,0,0,0,0,0,0
"ENSG00000120942.13",204,187,107,822,412,129,425,698,515,325,396
"ENSG00000238199.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284646.1",6,13,0,5,7,1,26,11,11,0,34
"ENSG00000224338.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204624.7",9,36,0,35,18,8,28,26,12,15,10
"ENSG00000285833.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235643.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284708.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116661.10",21,32,17,125,46,8,34,64,106,6,67
"ENSG00000132879.13",153,328,104,282,188,216,386,409,342,159,201
"ENSG00000116663.10",63,104,68,239,118,43,94,175,122,58,95
"ENSG00000116670.14",96,151,120,375,186,116,190,249,286,163,149
"ENSG00000162490.6",7,0,0,5,0,5,8,1,10,3,13
"ENSG00000177674.15",561,536,326,1462,1307,220,1270,1966,1049,820,435
"ENSG00000215910.7",6,1,0,0,0,1,2,1,4,3,2
"ENSG00000177553.6",0,0,0,0,0,0,0,0,0,0,0
