"","M_W_RNA6","N_W_RNA7","M_W_RNA12","N_W_RNA13","M_W_RNA14","N_W_RNA15","M_W_RNA16","M_W_RNA17","N_W_RNA18"
"ENSG00000162591.15",471,491,54,1000,698,459,78,301,460
"ENSG00000207776.1",0,0,0,0,0,3,0,0,0
"ENSG00000238260.1",1,2,0,5,5,6,0,5,0
"ENSG00000158109.14",1405,1318,615,748,690,1363,880,1298,975
"ENSG00000116213.15",336,309,62,252,222,288,200,250,297
"ENSG00000078900.14",82,111,26,271,181,137,16,45,125
"ENSG00000227589.1",1,0,8,0,0,0,0,0,0
"ENSG00000235131.1",0,0,0,0,2,0,0,0,0
"ENSG00000227372.12",390,407,233,479,323,460,375,358,392
"ENSG00000276189.1",0,0,0,0,0,0,0,0,0
"ENSG00000162592.9",0,0,0,1,2,2,0,0,0
"ENSG00000235169.8",46,19,0,22,12,20,20,11,12
"ENSG00000130764.9",1068,1134,547,875,682,1063,711,807,751
"ENSG00000266075.2",0,1,0,5,1,6,1,1,0
"ENSG00000272153.1",1,2,7,3,6,3,0,6,2
"ENSG00000116198.12",1373,1581,1610,1171,921,1505,683,1307,1181
"ENSG00000169598.15",97,166,19,101,57,133,206,133,86
"ENSG00000198912.10",385,486,265,279,284,412,336,422,367
"ENSG00000236423.5",30,26,27,18,19,29,20,13,15
"ENSG00000233304.6",1,1,0,0,1,1,1,2,0
"ENSG00000226374.2",2,0,0,0,0,4,0,1,0
"ENSG00000284668.1",0,0,0,0,0,0,0,0,0
"ENSG00000284703.1",0,0,0,0,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0,0
"ENSG00000235054.3",0,0,0,0,0,0,1,0,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0
"ENSG00000232596.2",0,0,0,0,0,0,0,0,0
"ENSG00000196581.10",56,162,16,55,83,124,17,37,54
"ENSG00000284739.1",0,0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0,0,0,0,0
