"","M_B_RNA1","M_B_RNA2","M_B_RNA4","M_W_RNA6","M_B_RNA8","M_B_RNA9","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17","M_B_RNA19","M_B_RNA20"
"ENSG00000284740.1",4,0,0,13,2,4,0,7,8,4,3,3
"ENSG00000197785.13",66,140,69,246,69,275,162,175,154,140,142,98
"ENSG00000205090.8",5,3,0,3,5,8,0,4,3,4,3,8
"ENSG00000160075.11",644,725,484,2698,1676,977,1841,1173,1705,1710,1759,1281
"ENSG00000215014.5",2,2,6,46,15,8,31,3,12,35,36,13
"ENSG00000274481.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228594.3",4,9,0,64,6,3,20,7,42,9,56,7
"ENSG00000272106.1",62,94,59,157,163,24,117,92,154,176,188,107
"ENSG00000197530.12",65,291,83,200,100,390,67,281,76,120,196,120
"ENSG00000189409.13",0,0,0,0,1,4,0,1,0,1,0,0
"ENSG00000248333.8",145,326,53,345,268,423,381,412,227,294,364,221
"ENSG00000272004.1",2,0,0,6,3,4,26,8,9,11,5,19
"ENSG00000189339.11",492,544,373,938,930,1168,587,901,1388,1144,1465,944
"ENSG00000269737.2",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000215914.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008128.22",16,20,26,20,30,88,8,24,10,23,21,15
"ENSG00000268575.1",41,40,11,100,99,147,27,104,95,135,185,32
"ENSG00000227775.3",2,1,0,3,0,2,0,2,1,0,2,0
"ENSG00000215790.7",209,342,121,842,378,455,281,374,1059,400,763,202
"ENSG00000008130.15",412,495,189,1392,662,368,513,642,916,812,794,460
"ENSG00000078369.17",3000,2547,2447,10054,6967,1773,6136,4646,5543,6276,4851,4835
"ENSG00000231050.1",10,10,0,24,7,22,15,6,10,8,15,7
"ENSG00000169885.9",1,30,0,3,3,4,0,9,1,6,6,2
"ENSG00000178821.12",8,0,10,24,16,4,0,1,26,5,12,4
"ENSG00000142609.18",0,0,0,15,7,0,0,19,2,6,114,7
"ENSG00000233542.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187730.8",0,0,0,6,0,2,0,2,0,0,13,2
"ENSG00000226969.1",0,0,0,0,0,1,0,1,0,2,0,0
"ENSG00000067606.16",333,494,89,710,547,336,396,659,436,513,435,568
"ENSG00000271806.1",0,1,0,0,0,0,0,2,0,3,0,0
"ENSG00000182873.5",7,33,0,3,8,11,0,12,1,6,10,16
"ENSG00000162585.16",57,174,22,151,101,213,59,195,42,115,144,135
"ENSG00000234396.3",3,0,0,0,1,0,13,0,0,0,3,0
"ENSG00000157933.9",380,654,362,1337,990,710,975,1078,691,735,1047,915
"ENSG00000116151.13",97,151,53,196,157,158,51,244,123,196,236,213
"ENSG00000272161.1",0,0,0,0,0,0,0,6,0,0,0,0
"ENSG00000269896.2",17,33,0,27,37,24,5,50,39,41,60,60
"ENSG00000272420.1",0,3,0,5,8,0,0,6,5,5,4,14
"ENSG00000157916.19",773,749,577,2432,2277,538,1881,1471,2076,2410,1596,1374
"ENSG00000157911.10",232,365,189,828,518,113,452,405,663,626,443,325
"ENSG00000149527.17",240,793,120,103,310,327,106,756,46,540,252,624
"ENSG00000224387.1",0,0,0,0,0,0,0,1,0,0,1,0
"ENSG00000229393.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157881.13",153,213,72,301,319,164,93,275,236,306,177,280
"ENSG00000197921.5",3,6,0,0,3,1,0,0,0,1,0,1
"ENSG00000272449.2",4,5,0,6,5,3,0,5,2,5,9,0
"ENSG00000238164.6",35,114,41,66,33,37,26,187,17,65,57,106
"ENSG00000157873.17",389,790,291,692,513,418,99,936,201,547,432,617
"ENSG00000225931.3",5,0,0,2,3,1,0,3,0,1,1,3
"ENSG00000228037.1",2,0,1,1,0,1,0,8,0,9,0,5
"ENSG00000157870.15",209,258,72,140,240,43,23,300,181,320,112,209
"ENSG00000142606.15",32,52,4,30,46,9,0,86,3,49,14,28
"ENSG00000237058.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215912.12",22,52,0,6,14,13,0,36,10,22,3,48
"ENSG00000285945.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284745.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177133.10",0,0,0,0,0,3,0,2,0,0,0,1
"ENSG00000142611.16",5,53,0,3,0,13,6,12,5,12,2,21
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0,0,2,0,0
