"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000124370","MCEE",232.370257771673,0.433280118123421,0.170858881382509,2.53589462027098,0.0112160479687418,0.998304629206928
"ENSG00000130203","APOE",209.147808946247,-1.5017754832078,0.592243122365501,-2.53574153332418,0.0112209518551391,0.998304629206928
"ENSG00000171016","PYGO1",633.885706533107,0.57126198456404,0.225720353829091,2.5308394873268,0.0113789908197792,0.998304629206928
"ENSG00000104856","RELB",152.123843560323,-0.66120828305374,0.261532955957892,-2.52820253811606,0.0114648192117474,0.998304629206928
"ENSG00000114626","ABTB1",203.518579423386,-0.714153657413935,0.282578972369866,-2.52727105426367,0.0114952745424094,0.998304629206928
"ENSG00000135297","MTO1",478.614178675936,0.493127844825119,0.195325721335386,2.52464366420226,0.0115815656165933,0.998304629206928
"ENSG00000105559","PLEKHA4",115.292253567198,-0.811362669594202,0.321483251983863,-2.52381007280258,0.0116090630182476,0.998304629206928
"ENSG00000173918","C1QTNF1",204.556517200162,1.06370679799301,0.422106813873304,2.51999437827667,0.0117356708613822,0.998304629206928
"ENSG00000164855","TMEM184A",942.959096023551,-2.02077344875711,0.802949507582135,-2.51668807275581,0.0118463656215173,0.998304629206928
"ENSG00000076641","PAG1",397.992504158393,0.74949914324113,0.299039093360099,2.50635839889534,0.0121981905721085,0.998304629206928
"ENSG00000197249","SERPINA1",265.852037472431,-1.14385661492126,0.456528290438735,-2.5055547243786,0.0122259477370324,0.998304629206928
"ENSG00000177873","ZNF619",180.873541139932,-0.471986050656749,0.188463501203812,-2.50438969690117,0.0122662846098597,0.998304629206928
"ENSG00000176533","GNG7",129.53422120288,-0.667733837849732,0.267189209953358,-2.49910480279609,0.0124507483617351,0.998304629206928
"ENSG00000240869","RN7SL128P",1411.7628081676,-1.42698042576094,0.571586351231874,-2.49652641754921,0.0125416326641948,0.998304629206928
"ENSG00000118785","SPP1",138.116439273411,-2.1554086948553,0.863652030665042,-2.49569110975813,0.0125712017550663,0.998304629206928
"ENSG00000215154","AC141586.5",56.5403180272824,-0.690704965220251,0.27745400319028,-2.48943953692591,0.012794467904441,0.998304629206928
"ENSG00000198146","ZNF770",1622.03877982298,0.751428645440215,0.302170150281654,2.48677324593381,0.0128907533452383,0.998304629206928
"ENSG00000206341","HLA-H",136.581830715091,0.634529314055417,0.255262651542752,2.4857898725899,0.0129264265453146,0.998304629206928
"ENSG00000198786","MT-ND5",18093.1311417696,-1.34567125051184,0.541971850916045,-2.48291723682212,0.013031135998967,0.998304629206928
"ENSG00000203865","ATP1A1-AS1",63.0322905764259,0.648048677071226,0.261117395786434,2.48182881542393,0.0130710052210033,0.998304629206928
"ENSG00000125266","EFNB2",865.856879465317,-0.963946307777383,0.388696565578087,-2.47994552342843,0.0131402456842941,0.998304629206928
"ENSG00000279608","RP11-182N22.9",81.1677698285291,-1.18124075114041,0.476371205755155,-2.47966446516825,0.0131506067410893,0.998304629206928
"ENSG00000197558","SSPO",177.093711302581,-1.86179519490297,0.751763689133541,-2.47656972771433,0.0132651711146502,0.998304629206928
"ENSG00000150768","DLAT",564.483961704708,0.488348009725835,0.197401795048752,2.47387826237967,0.0133655231482691,0.998304629206928
"ENSG00000113638","TTC33",358.06909550122,0.612850163881227,0.247977123522122,2.47139798694598,0.0134585943867761,0.998304629206928
"ENSG00000226891","LINC01359",96.8509431584641,-1.12481454785201,0.455584229771019,-2.4689497009529,0.0135510264548879,0.998304629206928
"ENSG00000229589","ACVR2B-AS1",51.8459812281956,-1.58142414315736,0.641321999396871,-2.46588163924613,0.0136676489141914,0.998304629206928
"ENSG00000130347","RTN4IP1",66.9912202339238,0.791150022535603,0.320881088037025,2.4655551605594,0.0136801109853564,0.998304629206928
"ENSG00000198695","MT-ND6",90.136573846704,-2.14610803921201,0.872173889761518,-2.46064238382421,0.0138688528997285,0.998304629206928
"ENSG00000197083","ZNF300P1",96.6417760683298,1.14777280441099,0.467745583543449,2.45383996085209,0.0141339869156081,0.998304629206928
"ENSG00000205517","RGL3",122.202089247979,-1.39572738229989,0.569932270663635,-2.44893552118867,0.0143279094684193,0.998304629206928
"ENSG00000129521","EGLN3",144.016640725822,-0.739315448158394,0.301942866957609,-2.44852761586247,0.0143441433520246,0.998304629206928
"ENSG00000198785","GRIN3A",94.2492378995332,1.92665463649271,0.788929293663971,2.4421131931163,0.0146015676096929,0.998304629206928
