"","M_B_RNA1","M_B_RNA2","N_B_RNA3","M_B_RNA4","N_B_RNA5","M_B_RNA8","M_B_RNA9","N_B_RNA10","N_B_RNA11","M_B_RNA19","M_B_RNA20"
"ENSG00000201612.1",0,0,0,0,0,0,2,0,0,0,0
"ENSG00000274075.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256378.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000087494.15",0,0,5,7,6,23,29,8,10,5,9
"ENSG00000257042.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000123106.10",251,153,209,166,1051,1128,325,755,1209,1343,1001
"ENSG00000247934.4",14,10,4,7,72,48,16,57,55,104,72
"ENSG00000255951.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000278733.1",0,1,0,0,1,6,1,8,11,6,11
"ENSG00000273989.1",0,0,0,0,21,34,4,23,45,42,40
"ENSG00000252237.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202187.1",0,0,0,0,0,0,1,0,0,1,0
"ENSG00000244712.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256513.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278687.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257258.1",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000064763.10",7,12,21,19,36,96,29,19,72,169,33
"ENSG00000275278.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000275476.1",7,0,0,0,10,37,0,7,21,14,9
"ENSG00000257176.2",29,19,19,65,183,170,65,144,229,250,135
"ENSG00000274315.1",3,0,25,0,35,44,8,21,67,58,54
"ENSG00000273680.1",14,0,21,0,49,40,9,46,61,63,56
"ENSG00000087502.17",460,233,210,354,2883,3391,490,1902,4235,3067,2295
"ENSG00000257599.2",6,5,42,4,5,28,3,6,34,11,20
"ENSG00000187950.8",2,0,0,0,5,1,0,7,12,0,7
"ENSG00000133687.15",191,223,374,196,965,583,398,417,739,170,731
"ENSG00000257456.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242986.2",6,0,0,0,2,13,4,3,0,1,8
"ENSG00000276431.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257262.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257756.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284682.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251781.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257932.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258202.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000133704.9",670,464,434,671,2325,2486,630,1887,3143,2386,2263
"ENSG00000285870.1",0,0,1,0,1,1,1,2,0,0,0
"ENSG00000110888.17",182,295,246,293,635,665,509,646,875,825,779
"ENSG00000246331.2",2,0,0,0,0,0,0,0,1,0,1
"ENSG00000235884.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285517.1",9,2,1,27,36,3,14,19,7,2,9
"ENSG00000258118.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000110900.14",27,53,53,76,63,118,11,48,210,5,93
"ENSG00000226472.8",7,14,13,0,7,9,14,13,21,11,21
"ENSG00000256984.2",0,3,0,0,0,0,0,0,4,0,0
"ENSG00000245614.3",7,8,0,0,11,9,12,19,24,13,28
"ENSG00000013573.16",42,134,40,61,121,102,341,300,128,331,386
"ENSG00000212533.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270926.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177359.20",7,8,0,6,4,1,3,7,15,5,23
"ENSG00000270766.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243517.1",18,17,19,17,1,2,0,1,4,4,4
"ENSG00000270395.1",0,0,0,0,2,0,0,0,3,0,0
"ENSG00000275097.1",0,0,0,0,7,5,0,3,1,4,14
"ENSG00000139146.13",686,417,289,492,1705,1691,376,1948,2170,1086,2408
"ENSG00000256176.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177340.5",0,0,0,0,3,2,0,1,1,0,0
"ENSG00000256232.1",0,0,7,0,1,0,0,0,0,0,1
"ENSG00000283256.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000170456.15",106,102,140,89,598,332,106,352,400,166,491
"ENSG00000200388.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275769.1",0,0,0,0,12,9,0,5,2,0,7
"ENSG00000203437.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256159.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201228.1",0,0,0,0,6,3,0,0,0,1,0
"ENSG00000225349.2",0,0,0,0,5,15,6,2,3,2,1
"ENSG00000255867.1",3,0,0,0,0,0,0,0,0,0,0
"ENSG00000252390.1",0,0,0,0,0,0,0,0,1,0,0
"ENSG00000231788.4",0,0,0,0,0,0,0,2,0,0,0
"ENSG00000233381.3",1,5,3,1,1,0,0,2,0,4,0
"ENSG00000139160.13",118,59,34,44,345,379,73,251,582,338,248
"ENSG00000151743.10",68,45,33,104,293,358,41,244,431,112,262
"ENSG00000276058.1",6,0,17,3,1,13,1,9,21,9,6
"ENSG00000276900.1",19,10,13,0,32,53,8,19,29,13,40
"ENSG00000256843.1",1,1,0,1,0,0,0,0,0,0,1
"ENSG00000223722.3",0,4,1,0,0,2,0,0,1,1,0
"ENSG00000188375.4",14,12,8,4,1,0,0,3,1,4,3
"ENSG00000252421.1",0,2,0,0,0,0,0,0,0,0,0
"ENSG00000252204.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256372.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255760.1",0,0,0,0,1,0,0,0,0,0,2
"ENSG00000256465.1",0,0,4,0,0,0,0,0,0,0,0
"ENSG00000244436.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242314.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000256987.1",0,0,0,0,0,0,0,0,2,0,0
"ENSG00000174718.11",781,353,706,465,2918,2361,960,2484,2670,1461,3665
"ENSG00000276136.1",3,0,0,0,5,4,4,6,1,5,7
"ENSG00000257094.1",1,0,0,0,0,0,0,0,0,0,2
"ENSG00000257852.1",0,0,0,0,1,0,0,0,0,0,0
"ENSG00000271357.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257530.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000151746.13",291,247,135,129,531,644,519,497,1478,5451,1020
"ENSG00000277342.1",1,0,17,0,22,42,3,18,12,46,40
"ENSG00000258134.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274964.1",13,13,0,0,52,58,9,59,144,745,103
"ENSG00000276115.1",11,11,3,7,55,39,30,21,95,580,78
"ENSG00000207176.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139132.14",653,435,280,315,2404,2725,729,1976,3070,2081,1315
"ENSG00000253063.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000087470.17",811,797,470,728,3750,3850,616,2761,4654,2631,2593
"ENSG00000257643.1",0,0,0,0,1,0,0,0,5,3,2
"ENSG00000201563.1",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000276148.1",6,0,0,10,10,9,23,24,28,13,23
"ENSG00000257511.1",19,25,4,27,51,53,27,28,79,83,58
"ENSG00000139131.12",80,167,67,56,303,342,112,334,395,222,298
"ENSG00000274105.1",1,8,0,0,12,11,4,8,19,13,17
"ENSG00000275854.1",10,0,0,0,31,54,7,31,44,37,58
"ENSG00000057294.14",403,513,330,273,773,1194,228,827,1341,551,882
"ENSG00000274976.1",3,19,0,0,5,11,0,8,5,5,11
"ENSG00000244743.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257316.1",0,0,0,4,1,0,0,0,0,0,2
"ENSG00000257435.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000110975.8",2,0,0,22,0,16,6,11,46,0,0
"ENSG00000259937.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273853.1",0,0,0,0,0,0,0,0,4,0,0
"ENSG00000256070.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212475.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270807.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207026.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201624.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139133.6",74,53,57,45,350,421,56,345,509,320,410
"ENSG00000245482.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256538.1",0,0,0,25,7,5,0,0,6,1,2
"ENSG00000255628.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256986.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250788.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255652.3",0,9,0,0,5,0,0,5,4,0,1
"ENSG00000272435.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258794.3",3,9,0,0,7,6,0,3,13,0,5
"ENSG00000256614.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258368.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257173.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258278.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274293.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199843.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201708.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254381.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257292.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258360.1",0,0,0,1,0,0,0,0,0,0,0
"ENSG00000253016.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175548.8",102,54,110,35,844,956,91,710,1425,527,877
"ENSG00000257645.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258119.1",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000139117.13",37,31,102,45,242,242,88,184,182,39,208
"ENSG00000257718.1",0,0,0,0,0,4,2,1,0,0,1
"ENSG00000257586.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257237.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258144.1",0,0,0,0,0,0,0,3,0,0,0
"ENSG00000270718.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139116.18",1013,1078,375,525,2891,3772,625,2869,5182,2353,4394
"ENSG00000255991.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270273.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173208.3",6,7,11,78,62,26,6,27,20,3,60
"ENSG00000285732.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180116.15",0,0,0,0,1,0,0,0,0,0,0
"ENSG00000151229.12",77,37,23,126,529,722,115,343,927,871,353
"ENSG00000199571.1",0,0,0,0,1,1,0,0,5,6,2
"ENSG00000229014.3",0,0,0,0,1,1,0,0,4,1,4
"ENSG00000260943.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223914.2",0,0,0,0,1,0,0,0,0,0,0
"ENSG00000225342.2",1,9,22,0,20,35,4,9,16,3,26
"ENSG00000188906.15",151,197,299,192,886,717,398,620,607,51,758
"ENSG00000229899.1",0,0,0,0,0,0,0,1,0,0,3
"ENSG00000205592.14",1,18,3,0,12,5,2,1,3,0,9
"ENSG00000258167.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207492.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000018236.14",168,250,343,462,2136,696,628,712,643,96,1912
"ENSG00000257680.1",0,0,0,0,11,4,8,10,2,0,17
"ENSG00000274682.1",0,0,0,0,1,0,0,0,5,0,6
"ENSG00000165966.15",85,50,194,532,626,207,132,296,347,33,122
"ENSG00000257228.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252364.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258239.1",0,0,0,0,1,0,0,0,3,0,0
"ENSG00000257858.1",0,0,0,0,2,0,0,0,0,0,0
"ENSG00000257784.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257239.1",0,0,0,0,5,0,0,0,0,0,0
"ENSG00000257128.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271379.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000151233.10",193,100,99,152,1287,1675,224,1136,1865,911,1135
"ENSG00000015153.14",186,191,207,217,884,904,446,740,1071,810,984
"ENSG00000134283.17",314,290,354,356,1151,1243,408,1142,1347,1109,1230
"ENSG00000257674.1",0,0,5,0,1,0,4,0,1,0,2
"ENSG00000139168.7",235,266,186,274,968,933,230,942,1203,810,721
"ENSG00000278520.1",2,6,10,7,8,7,6,4,6,4,8
"ENSG00000252917.1",1,0,0,0,0,0,0,0,0,0,0
"ENSG00000274943.1",3,5,12,0,8,12,1,16,6,18,9
"ENSG00000199886.1",4,0,0,0,4,10,2,5,3,3,6
"ENSG00000257376.1",0,0,0,0,1,0,0,1,0,0,0
"ENSG00000207142.1",1,0,0,0,0,0,0,1,0,0,1
"ENSG00000139174.11",62,34,56,49,161,68,91,120,101,12,181
"ENSG00000257225.1",0,0,0,0,0,3,0,1,9,7,9
"ENSG00000258068.1",0,0,0,0,0,0,1,1,0,0,2
"ENSG00000257510.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257687.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257405.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257164.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240759.1",0,0,3,2,0,0,0,0,0,0,5
"ENSG00000257114.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271272.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257849.1",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000257373.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257927.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258331.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173157.16",0,0,0,0,3,1,0,1,0,0,0
"ENSG00000241251.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257813.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271508.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257907.2",6,2,2,2,1,1,0,1,1,2,2
"ENSG00000129317.14",243,137,119,248,2164,2063,399,2335,2531,2126,3004
"ENSG00000257896.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198001.13",202,148,171,200,781,789,201,775,1056,520,792
"ENSG00000151239.13",563,405,292,583,2697,3484,412,2372,4878,2043,2324
"ENSG00000139173.9",87,60,60,73,297,321,77,264,276,97,271
"ENSG00000258212.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257947.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257864.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275286.1",0,0,0,0,1,0,0,0,0,0,0
"ENSG00000184613.10",117,421,482,32,1344,72,77,138,93,187,657
"ENSG00000201788.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185610.6",1,0,3,0,5,0,0,1,4,2,4
"ENSG00000257319.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257331.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257572.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199556.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134297.6",11,8,14,66,24,46,9,20,53,52,38
"ENSG00000257738.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177119.15",676,539,798,663,2659,1671,823,1584,1611,1184,2130
"ENSG00000278351.1",1,0,0,0,7,9,7,3,4,1,14
"ENSG00000257368.2",0,0,0,18,2,0,0,0,1,0,0
"ENSG00000257657.2",1,0,0,0,0,0,0,0,0,5,2
"ENSG00000283545.1",0,0,0,0,0,2,0,0,0,0,0
"ENSG00000273015.2",207,88,57,162,673,917,159,645,989,648,778
"ENSG00000189079.15",1301,788,720,1029,3793,3849,1201,3436,4368,2987,4159
"ENSG00000278475.1",0,0,0,1,29,40,5,45,40,32,33
"ENSG00000265093.2",4,10,0,0,2,10,3,17,7,12,12
"ENSG00000270429.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139218.17",2114,1657,1300,1713,9275,10134,2854,8253,11763,6745,9645
"ENSG00000239397.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111371.15",1482,1024,748,822,5123,4435,1539,3457,6315,4242,3524
"ENSG00000274591.1",0,1,2,0,6,9,4,2,4,3,12
"ENSG00000134294.13",1454,787,981,753,4621,8727,1675,5435,7554,13318,8044
"ENSG00000258096.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257261.5",15,23,22,8,30,29,34,40,87,43,53
"ENSG00000257496.1",0,0,0,0,0,5,0,0,0,0,1
"ENSG00000275481.1",15,28,12,15,57,91,26,57,93,100,133
"ENSG00000278896.1",4,8,10,0,32,34,44,38,42,49,43
"ENSG00000272369.1",13,8,12,0,28,36,4,18,48,24,41
"ENSG00000272963.1",0,6,0,0,8,14,2,9,9,10,7
"ENSG00000271642.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139209.15",5,0,10,9,131,110,13,47,166,205,22
"ENSG00000274723.1",0,0,0,0,0,0,0,0,2,3,0
"ENSG00000139211.6",48,27,70,90,283,182,77,382,220,239,651
"ENSG00000179715.12",8,13,9,18,32,24,27,68,20,50,107
"ENSG00000258352.1",0,0,4,0,0,0,0,1,1,0,0
"ENSG00000263838.1",0,0,0,0,0,0,2,4,0,0,2
"ENSG00000247774.6",6,4,9,26,17,15,10,1,11,3,28
"ENSG00000257925.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258181.1",0,7,0,0,1,2,0,0,1,4,7
"ENSG00000276454.1",0,0,0,0,0,0,0,0,0,0,2
"ENSG00000258116.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000199566.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257924.1",0,0,2,0,0,0,1,1,0,0,1
"ENSG00000264906.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257906.2",0,0,2,16,0,0,0,1,0,0,2
"ENSG00000258369.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257807.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257905.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005175.9",240,137,134,191,1113,1339,269,898,1559,1014,1045
"ENSG00000276390.1",0,0,0,0,8,7,2,3,13,11,11
"ENSG00000257433.5",8,1,15,0,16,20,2,17,10,2,15
"ENSG00000111405.8",9,0,10,0,2,5,1,2,9,9,5
"ENSG00000280054.1",0,0,0,0,9,1,0,1,2,6,4
"ENSG00000274902.1",1,4,6,0,0,1,2,6,3,0,7
"ENSG00000079337.15",139,267,152,114,403,409,490,372,493,199,263
"ENSG00000211584.13",178,231,160,116,379,392,178,335,428,341,311
"ENSG00000277173.1",2,4,0,0,3,6,0,4,3,6,8
"ENSG00000061273.17",416,803,322,377,915,580,681,704,676,795,803
"ENSG00000268069.2",7,8,0,4,7,6,7,17,17,8,15
"ENSG00000276691.1",0,0,0,0,0,2,1,1,0,2,5
"ENSG00000274737.1",0,15,0,0,11,7,5,6,9,10,9
"ENSG00000257488.5",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000111424.10",74,61,73,15,153,80,54,185,91,30,165
"ENSG00000205537.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278385.1",6,13,8,1,28,21,0,28,26,11,29
"ENSG00000279840.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134291.11",267,126,194,106,638,674,232,613,985,342,875
"ENSG00000139219.18",4,6,0,1,11,6,0,6,44,0,120
"ENSG00000258203.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257985.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257955.1",0,0,0,0,0,0,0,0,2,0,0
"ENSG00000276814.1",0,0,4,0,0,4,0,6,0,1,4
"ENSG00000079387.13",288,178,292,313,779,719,245,713,876,663,906
"ENSG00000240399.1",6,0,1,10,16,18,7,8,13,25,11
"ENSG00000222635.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226138.4",1,0,0,0,0,0,0,0,0,0,0
"ENSG00000152556.16",380,483,348,377,1075,676,210,983,820,521,1092
"ENSG00000275770.1",0,0,0,0,0,1,0,0,0,0,3
"ENSG00000177981.10",265,256,219,287,797,904,163,794,985,701,611
"ENSG00000274124.1",0,0,0,0,0,6,0,0,0,1,1
"ENSG00000258051.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257885.1",0,0,0,2,0,0,0,0,0,0,0
"ENSG00000257848.1",0,0,0,0,0,0,0,2,0,0,0
"ENSG00000177875.4",0,17,0,0,11,2,7,3,2,1,4
"ENSG00000279875.1",0,0,0,0,3,0,0,1,1,0,0
"ENSG00000269514.2",11,10,11,0,9,8,4,22,10,1,31
"ENSG00000172640.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258234.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275228.1",0,0,0,0,1,0,0,0,0,0,0
"ENSG00000187166.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258273.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167528.12",274,320,300,213,779,752,257,768,794,431,800
"ENSG00000257735.1",0,7,1,0,10,6,4,12,1,10,13
"ENSG00000257763.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273765.1",0,0,4,0,6,4,0,2,0,3,1
"ENSG00000258024.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257792.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273434.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226413.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139223.2",1,0,0,0,0,1,2,0,0,0,0
"ENSG00000177627.10",5,3,0,33,24,41,4,24,19,1,42
"ENSG00000258121.1",0,0,0,0,0,0,0,4,0,0,0
"ENSG00000240443.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197376.3",0,0,0,0,1,0,2,0,0,0,1
"ENSG00000284723.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198678.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167531.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224709.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139620.12",266,186,259,178,779,702,214,805,894,541,713
"ENSG00000221491.2",0,0,0,0,0,0,0,1,4,4,6
"ENSG00000281842.2",0,0,0,0,0,0,1,0,0,1,0
"ENSG00000206612.1",4,26,7,11,65,120,184,73,79,70,84
"ENSG00000207313.1",8,10,0,1,24,17,9,19,24,10,35
"ENSG00000129315.10",563,538,439,390,2119,2214,506,1947,2491,1455,2082
"ENSG00000257987.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257653.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174233.11",813,975,466,467,1685,1988,2151,1434,2500,2240,1803
"ENSG00000264201.1",0,0,0,0,0,2,0,3,0,0,0
"ENSG00000257660.5",2,0,1,0,4,9,0,8,3,3,3
"ENSG00000271547.1",0,14,0,0,0,0,2,0,3,2,0
"ENSG00000207467.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167535.7",80,121,83,75,184,125,173,202,161,169,159
"ENSG00000174243.9",839,911,672,609,1881,2170,830,2166,2778,1783,1793
"ENSG00000172602.10",38,31,64,0,30,139,16,84,58,34,170
"ENSG00000199394.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239617.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272822.1",0,0,0,0,0,0,0,2,1,0,0
"ENSG00000139537.10",7,6,4,9,11,10,6,3,8,20,21
"ENSG00000134285.10",128,215,115,38,344,538,157,289,726,643,254
"ENSG00000255863.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134287.9",1015,979,708,886,2298,2374,535,2233,2574,2405,1997
"ENSG00000169884.13",3,0,7,0,1,4,5,4,4,0,2
"ENSG00000200303.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000125084.11",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181418.7",0,0,5,0,1,3,3,0,0,5,0
"ENSG00000258283.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257913.2",0,0,0,0,2,3,0,2,1,0,0
"ENSG00000181929.12",495,374,320,410,1017,1102,233,1018,1520,868,747
"ENSG00000167548.15",1869,3320,2221,1215,3957,3392,4973,3769,4699,5443,4097
"ENSG00000167550.10",0,1,0,0,7,0,0,3,0,1,10
"ENSG00000277672.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139549.3",3,0,0,0,4,1,2,2,1,1,0
"ENSG00000257346.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000139636.15",142,286,212,203,284,351,381,439,391,276,420
"ENSG00000123416.15",1587,1418,1442,1712,3348,2907,959,2427,3403,2365,3459
"ENSG00000258017.1",9,0,0,0,5,7,0,10,9,7,13
"ENSG00000200309.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167552.13",717,479,1027,1170,2630,972,658,836,1020,174,1284
"ENSG00000167553.15",318,602,343,288,1090,1227,246,796,1464,941,749
"ENSG00000274017.1",0,0,0,0,6,1,0,0,0,1,0
"ENSG00000258101.2",0,0,2,0,2,3,5,0,1,3,4
"ENSG00000258232.2",0,0,0,0,0,0,0,0,0,0,2
"ENSG00000258334.1",0,0,1,0,3,0,0,1,0,0,2
"ENSG00000135406.13",6,20,0,5,14,4,1,1,2,2,5
"ENSG00000135451.12",3,24,0,1,5,17,25,13,12,26,19
"ENSG00000186897.4",2,0,0,0,0,1,0,0,1,1,6
"ENSG00000178401.15",27,38,32,24,80,215,226,49,47,194,226
"ENSG00000123352.17",281,318,192,150,643,929,388,681,930,799,1003
"ENSG00000257954.1",9,3,0,27,31,35,74,48,27,97,64
"ENSG00000257464.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000135519.7",1,3,5,0,24,11,0,12,18,1,10
"ENSG00000187778.13",386,338,248,299,787,621,357,669,870,669,588
"ENSG00000110844.13",173,298,190,96,396,325,418,415,527,372,468
"ENSG00000257964.1",0,0,0,0,0,0,0,0,0,2,0
"ENSG00000135436.8",5,16,0,13,15,12,5,17,14,4,25
"ENSG00000199237.1",0,0,0,0,2,8,2,4,5,4,3
"ENSG00000258284.1",2,0,0,0,2,0,2,4,6,4,3
"ENSG00000257243.1",4,3,14,0,3,18,0,13,1,2,17
"ENSG00000258104.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000161791.13",142,234,232,103,538,224,382,324,162,82,477
"ENSG00000139644.12",10128,6403,3979,6924,26148,29696,3268,21254,38783,31920,16519
"ENSG00000257570.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257730.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167566.16",161,366,242,171,354,207,169,271,263,14,260
"ENSG00000258057.5",2,14,6,25,22,15,4,25,22,2,32
"ENSG00000186666.5",93,60,51,145,195,316,53,267,455,165,197
"ENSG00000257253.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242041.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000135472.8",11,75,25,9,61,14,27,21,22,4,92
"ENSG00000258135.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257771.5",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000167580.7",0,0,0,0,9,1,0,0,0,0,8
"ENSG00000257588.1",3,0,0,0,0,21,0,3,0,0,1
