"","M_B_RNA1","M_B_RNA2","N_B_RNA3","M_B_RNA4","N_B_RNA5","M_B_RNA8","M_B_RNA9","N_B_RNA10","N_B_RNA11","M_B_RNA19","M_B_RNA20"
"ENSG00000197530.12",65,291,98,83,192,100,390,214,222,196,120
"ENSG00000189409.13",0,0,1,0,0,1,4,1,0,0,0
"ENSG00000248333.8",145,326,76,53,275,268,423,312,348,364,221
"ENSG00000272004.1",2,0,0,0,3,3,4,2,11,5,19
"ENSG00000189339.11",492,544,325,373,915,930,1168,872,1326,1465,944
"ENSG00000269737.2",0,0,0,0,3,0,0,0,0,1,0
"ENSG00000215914.4",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000008128.22",16,20,7,26,59,30,88,64,33,21,15
"ENSG00000268575.1",41,40,36,11,88,99,147,158,134,185,32
"ENSG00000227775.3",2,1,1,0,2,0,2,1,1,2,0
"ENSG00000215790.7",209,342,215,121,452,378,455,446,567,763,202
"ENSG00000008130.15",412,495,287,189,770,662,368,937,1102,794,460
"ENSG00000078369.17",3000,2547,1630,2447,7947,6967,1773,6733,9419,4851,4835
"ENSG00000231050.1",10,10,0,0,6,7,22,6,17,15,7
"ENSG00000169885.9",1,30,12,0,0,3,4,4,0,6,2
"ENSG00000178821.12",8,0,4,10,3,16,4,5,12,12,4
"ENSG00000142609.18",0,0,0,0,20,7,0,15,12,114,7
"ENSG00000233542.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187730.8",0,0,14,0,6,0,2,0,5,13,2
"ENSG00000226969.1",0,0,0,0,1,0,1,0,0,0,0
"ENSG00000067606.16",333,494,209,89,748,547,336,686,747,435,568
"ENSG00000271806.1",0,1,0,0,0,0,0,1,0,0,0
"ENSG00000182873.5",7,33,0,0,11,8,11,2,2,10,16
"ENSG00000162585.16",57,174,110,22,150,101,213,189,182,144,135
"ENSG00000234396.3",3,0,0,0,1,1,0,1,0,3,0
"ENSG00000157933.9",380,654,400,362,1188,990,710,818,1054,1047,915
"ENSG00000116151.13",97,151,116,53,208,157,158,184,213,236,213
"ENSG00000272161.1",0,0,1,0,3,0,0,0,0,0,0
"ENSG00000269896.2",17,33,9,0,35,37,24,47,44,60,60
"ENSG00000272420.1",0,3,0,0,3,8,0,8,14,4,14
"ENSG00000157916.19",773,749,605,577,2606,2277,538,2017,3038,1596,1374
"ENSG00000157911.10",232,365,159,189,692,518,113,542,915,443,325
"ENSG00000149527.17",240,793,206,120,750,310,327,779,400,252,624
"ENSG00000224387.1",0,0,0,0,0,0,0,1,0,1,0
"ENSG00000229393.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157881.13",153,213,80,72,378,319,164,311,353,177,280
"ENSG00000197921.5",3,6,0,0,0,3,1,9,0,0,1
"ENSG00000272449.2",4,5,0,0,15,5,3,3,9,9,0
"ENSG00000238164.6",35,114,62,41,74,33,37,97,123,57,106
"ENSG00000157873.17",389,790,392,291,833,513,418,721,829,432,617
"ENSG00000225931.3",5,0,3,0,2,3,1,2,4,1,3
"ENSG00000228037.1",2,0,20,1,5,0,1,1,0,0,5
"ENSG00000157870.15",209,258,114,72,487,240,43,361,321,112,209
"ENSG00000142606.15",32,52,22,4,72,46,9,59,35,14,28
"ENSG00000237058.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215912.12",22,52,37,0,32,14,13,19,27,3,48
"ENSG00000285945.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,0,2,0,0,0,0,0,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284745.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177133.10",0,0,0,0,1,0,3,4,0,0,1
"ENSG00000142611.16",5,53,2,0,17,0,13,10,14,2,21
"ENSG00000283572.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279839.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000272235.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130762.14",135,312,142,92,214,375,232,451,519,463,333
"ENSG00000272088.1",0,0,0,0,0,2,0,3,0,2,4
"ENSG00000162591.15",238,665,234,213,779,318,302,644,448,150,298
"ENSG00000207776.1",1,0,0,0,0,0,0,0,0,0,1
"ENSG00000238260.1",3,6,8,0,3,1,3,2,1,1,3
"ENSG00000158109.14",450,344,313,264,1269,1000,346,1004,1281,741,821
"ENSG00000116213.15",104,133,75,68,275,234,120,235,275,159,232
"ENSG00000078900.14",104,157,42,39,156,119,28,170,113,23,245
"ENSG00000227589.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235131.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227372.12",193,366,260,85,269,237,165,409,393,400,419
"ENSG00000276189.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162592.9",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235169.8",14,4,16,11,45,14,22,18,17,18,4
"ENSG00000130764.9",387,376,272,176,1002,717,348,853,948,630,608
"ENSG00000266075.2",0,0,0,0,1,2,2,0,0,3,2
"ENSG00000272153.1",6,0,1,22,11,5,2,1,2,2,5
"ENSG00000116198.12",426,500,316,204,1306,1017,442,1098,1355,975,954
"ENSG00000169598.15",49,69,26,72,97,100,78,123,95,93,117
"ENSG00000198912.10",145,167,139,95,424,387,106,358,458,327,446
"ENSG00000236423.5",7,8,0,0,7,11,25,10,7,36,9
"ENSG00000233304.6",0,0,0,0,0,0,2,0,2,0,2
"ENSG00000226374.2",0,0,0,3,2,0,0,1,0,0,1
"ENSG00000284668.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284703.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284694.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196581.10",10,9,43,63,0,33,36,16,47,4,8
"ENSG00000284739.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284616.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284692.2",2,4,0,0,0,0,0,0,0,0,2
"ENSG00000284666.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264341.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0,0,0,0,4,5,0,0
"ENSG00000131697.17",108,174,80,63,224,146,194,193,219,336,177
"ENSG00000069424.14",31,73,93,21,96,35,82,62,53,70,105
"ENSG00000116254.17",8,42,24,39,71,10,12,37,13,5,7
"ENSG00000285629.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116251.10",829,584,344,563,2340,2194,545,2230,3032,2140,2297
"ENSG00000226944.1",0,5,0,0,2,5,1,3,2,3,0
"ENSG00000158286.12",170,388,219,262,278,255,344,351,282,236,428
"ENSG00000116237.15",707,583,527,615,2315,2273,384,1583,3010,1362,1545
"ENSG00000225077.3",0,0,0,0,0,0,3,0,0,3,2
"ENSG00000173673.7",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158292.6",23,63,41,0,44,29,40,58,21,9,122
"ENSG00000097021.19",57,138,106,46,279,92,75,113,159,77,104
"ENSG00000271746.1",9,3,0,5,5,2,0,4,7,2,4
"ENSG00000069812.11",43,65,41,28,209,126,43,112,117,84,146
"ENSG00000187017.16",18,106,31,52,105,23,200,78,29,7,42
"ENSG00000265392.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,0,3,1,0,0,0,1
"ENSG00000215788.10",25,85,71,6,33,23,35,70,29,8,76
"ENSG00000171680.21",83,301,132,91,188,100,128,179,159,64,247
"ENSG00000162408.10",287,325,345,222,984,832,375,861,1048,916,1071
"ENSG00000253022.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229519.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173662.20",0,0,0,0,2,2,0,0,4,1,3
"ENSG00000204859.12",234,300,181,94,418,342,302,477,496,409,422
"ENSG00000162413.16",419,466,424,529,1150,578,458,786,754,275,884
"ENSG00000116273.5",189,254,228,179,357,390,193,511,540,294,563
"ENSG00000041988.15",91,149,81,71,267,192,110,259,302,123,139
"ENSG00000007923.15",288,493,433,154,872,629,362,646,1003,926,628
"ENSG00000228750.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436.1",3,0,0,0,6,9,4,0,2,13,4
"ENSG00000171735.18",223,164,162,45,666,614,158,594,724,652,783
"ENSG00000227950.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207056.1",0,0,0,0,2,0,0,0,0,0,0
"ENSG00000237402.1",0,0,0,0,0,0,1,0,0,0,1
"ENSG00000237728.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225126.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270171.1",0,1,2,0,0,0,0,1,3,6,2
"ENSG00000270035.1",1,0,0,6,0,3,1,5,7,14,13
"ENSG00000269978.1",0,4,0,0,8,0,4,7,9,8,7
"ENSG00000049245.12",602,506,461,518,2316,1975,453,2094,2265,793,2146
"ENSG00000269925.1",0,2,0,0,19,20,9,17,24,24,27
"ENSG00000049246.14",485,286,309,625,2162,1608,1030,1335,1802,636,914
"ENSG00000236266.1",0,8,0,0,0,5,0,0,2,0,0
"ENSG00000049247.13",0,0,0,0,35,1,0,20,4,4,29
"ENSG00000049249.8",12,9,0,0,16,17,18,6,6,1,43
"ENSG00000270330.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116288.12",918,831,465,743,2840,3182,316,2603,4400,2083,1857
"ENSG00000200344.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284747.1",0,0,7,0,2,22,8,13,16,21,16
"ENSG00000284716.1",0,5,0,0,3,3,0,7,1,0,4
"ENSG00000116285.12",380,648,704,430,958,2512,456,1727,1579,2246,4364
"ENSG00000238290.1",6,47,11,14,11,7,2,10,16,0,18
"ENSG00000232848.1",2,0,0,0,6,0,0,0,0,2,0
"ENSG00000229305.1",0,0,0,0,1,0,1,1,0,0,0
"ENSG00000227634.2",0,0,0,0,0,1,0,1,0,0,2
"ENSG00000200975.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233645.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251977.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162426.14",26,26,22,36,65,56,12,64,48,26,24
"ENSG00000252254.1",0,0,0,0,0,0,0,0,1,0,0
"ENSG00000142599.17",2472,3565,1893,1660,5796,6232,3198,4901,7372,8766,5430
"ENSG00000232912.5",0,0,0,0,2,7,2,7,8,7,12
"ENSG00000221083.1",1,0,3,0,5,4,4,3,8,11,4
"ENSG00000270282.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234619.1",0,0,1,0,0,0,0,0,0,0,0
"ENSG00000224315.2",8,23,17,11,24,29,29,76,62,54,59
"ENSG00000222511.2",0,0,0,0,25,17,1,3,2,6,9
"ENSG00000226545.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228423.2",10,18,34,10,13,31,16,23,23,24,39
"ENSG00000229716.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000074800.15",2350,2539,1966,2215,5453,6538,1337,5999,7862,3837,5356
"ENSG00000274258.1",0,0,0,0,0,0,0,0,0,2,0
"ENSG00000230679.1",1,1,7,0,5,6,0,14,13,1,3
"ENSG00000201725.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238249.2",0,0,0,0,1,1,0,0,0,2,1
"ENSG00000232208.2",0,0,0,0,0,0,0,0,0,0,4
"ENSG00000232663.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131686.14",3,0,0,0,0,0,0,0,1,0,0
"ENSG00000265141.2",1,0,0,0,0,0,2,0,1,0,0
"ENSG00000197241.3",0,0,0,0,0,6,0,2,0,6,0
"ENSG00000142583.17",629,1604,230,41,326,1341,18,3831,1603,7,255
"ENSG00000252404.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180758.11",130,233,99,97,342,342,148,318,452,120,277
"ENSG00000228526.7",54,187,50,45,106,72,156,92,96,35,163
"ENSG00000284357.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234546.3",15,35,13,0,67,23,23,45,46,24,77
"ENSG00000049239.12",1248,1247,880,1128,3116,1918,1440,2807,2158,1551,3124
"ENSG00000171621.13",123,271,341,131,236,348,254,330,251,237,439
"ENSG00000284652.1",4,5,5,0,1,4,1,0,0,2,3
"ENSG00000284693.1",7,0,11,0,22,7,6,7,15,8,15
"ENSG00000252956.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235263.1",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000171612.6",136,68,23,54,375,644,83,394,912,1010,358
"ENSG00000231181.1",3,20,4,0,15,21,10,2,12,55,22
"ENSG00000188807.12",46,132,89,53,163,127,123,127,142,154,131
"ENSG00000171608.15",42,129,66,91,164,58,74,185,85,28,193
"ENSG00000179840.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233268.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231789.2",13,53,22,0,25,13,8,23,28,5,25
"ENSG00000171603.17",4542,4274,2657,3769,10557,10200,2904,7217,13246,7891,8430
"ENSG00000271264.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280113.2",8,0,0,0,1,10,0,4,4,1,4
"ENSG00000178585.14",574,871,469,266,1372,1154,287,1206,1456,580,906
"ENSG00000223989.1",0,0,0,0,0,0,0,0,4,0,0
"ENSG00000285701.1",0,0,0,0,0,0,0,4,0,0,0
"ENSG00000162441.11",337,290,352,267,1054,1106,171,1005,1373,701,904
"ENSG00000228150.1",0,0,0,0,9,5,3,6,1,3,2
"ENSG00000173614.13",112,131,101,74,348,332,89,255,528,196,297
"ENSG00000202415.1",2,7,0,1,0,1,1,1,4,1,3
"ENSG00000283611.2",0,0,0,0,0,4,0,0,0,0,0
"ENSG00000265521.1",0,0,0,0,1,3,0,3,4,2,0
"ENSG00000241326.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162444.11",51,18,16,22,152,279,52,114,312,123,75
"ENSG00000130939.18",888,759,409,568,1840,2028,865,1690,2905,1781,1657
"ENSG00000224340.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233623.2",8,11,0,0,2,5,8,5,10,19,10
"ENSG00000201746.1",0,0,0,0,0,0,2,1,2,0,2
"ENSG00000054523.17",1410,1151,976,1322,4344,4871,1679,3625,5633,4358,3874
"ENSG00000264881.1",0,0,0,0,0,0,9,0,0,0,1
"ENSG00000199562.1",1,9,2,15,12,10,6,12,11,17,16
"ENSG00000264501.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284735.1",0,0,0,0,0,0,0,0,2,0,0
"ENSG00000284642.1",0,2,0,26,5,15,20,3,20,21,10
"ENSG00000142657.20",682,532,285,466,1615,1740,202,1567,2188,936,1425
"ENSG00000271989.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251503.8",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175279.21",4,4,0,0,15,13,1,7,12,17,18
"ENSG00000241563.3",0,0,0,0,3,5,0,0,5,10,2
"ENSG00000160049.11",562,443,425,281,1489,1293,776,1185,1871,929,1395
"ENSG00000203469.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000142655.12",149,283,120,189,543,248,155,361,402,245,312
"ENSG00000243267.3",1,1,4,0,2,4,1,5,1,4,2
"ENSG00000130940.14",1083,1842,762,535,2153,2412,1113,2151,3090,2257,2180
"ENSG00000272078.1",0,9,0,0,6,0,1,4,3,2,0
"ENSG00000225158.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175262.14",0,6,0,0,1,0,0,0,2,2,0
"ENSG00000215785.2",0,0,0,0,0,2,0,2,1,3,1
"ENSG00000120948.17",363,327,253,206,1164,1238,228,1077,1482,1528,1260
"ENSG00000277726.4",0,0,0,0,0,0,1,0,0,0,4
"ENSG00000009724.16",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000271895.2",13,10,3,1,28,20,7,24,27,27,31
"ENSG00000116649.9",109,182,84,99,200,203,320,154,293,370,117
"ENSG00000171824.13",487,593,575,590,1371,1172,529,1216,1299,1106,1270
"ENSG00000226849.1",0,15,0,0,14,11,7,9,19,10,9
"ENSG00000230337.1",0,0,0,0,0,3,0,1,1,1,1
"ENSG00000198793.12",1431,1582,950,1335,3278,5232,1442,2703,8999,5552,2685
"ENSG00000225602.5",0,0,0,0,0,2,0,0,0,0,0
"ENSG00000253086.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000171819.4",1,0,0,0,2,17,2,10,25,5,11
"ENSG00000207451.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238173.1",2,0,1,1,1,1,0,0,0,0,0
"ENSG00000120942.13",204,187,160,107,469,412,129,353,583,325,396
"ENSG00000238199.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284646.1",6,13,8,0,6,7,1,38,34,0,34
"ENSG00000224338.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204624.7",9,36,19,0,9,18,8,26,15,15,10
"ENSG00000285833.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235643.1",0,0,0,0,0,0,0,0,0,0,0
